config,attribute,ground_truth,predicted,correct,unknown
LLM-only,model_number,GV-N3080GAMING OC-10GD,GV-N3080GAMING-OC-10GB,False,False
LLM-only,model_number,CSSD-F960GBMP510,MP510-1TB,False,False
LLM-only,model_number,90YV0CV2-M0NA00,TU106,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,bus_type,USB 3.0,USB,False,False
LLM-only,model_number,GV-N166SOC-6GD,GV-N166SOF2-6GD,False,False
LLM-only,model_number,V375-040R,V6G,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,90YV0DQ0-M0NA00,ZT-T20610G6M-P5,False,False
LLM-only,bus_type,PCIe 4.0,PCIe,False,False
LLM-only,model_number,AGAMMIXS11P-1TT-C,XPG GAMMIX S11 Pro 1TB,False,False
LLM-only,model_number,GV-R56XTGAMING OC-6GD,GV-R56XTGAMING OC-6,False,False
LLM-only,model_number,100-506008,WX-4100-4GD5,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,model_number,NE6166SS18J9-161F,GP1660SU-6GBX3FA,False,False
LLM-only,model_number,843266-B21,1TB6G7200NHPETY,False,False
LLM-only,model_number,ROG-STRIX-RTX2080TI-O11G-GAMING,TU106-400A-K1-P,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,model_number,PBU240GS25SSDR,PBT240GB,False,False
LLM-only,model_number,SDCZ50-128G-B35,SDBPN128G-C3C1,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,bus_type,SATA III,M.2,False,False
LLM-only,model_number,WDBWLG0040HBK-EESN,WDBF4D0020HBK-EESN,False,False
LLM-only,model_number,WDBMCG5000ABT-WESN,A7KF100S,False,False
LLM-only,bus_type,USB 3.0,SATA,False,False
LLM-only,model_number,DT100G3/256GB,DT100G3,False,False
LLM-only,model_number,ST4000NE001,ST4000NE004,False,False
LLM-only,interface_type,Micro B,USB 3.2 Gen 1,False,False
LLM-only,model_number,PH-GTX1650-O4G,RTX2150GOCPHNX4GB,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,bus_type,SATA III,M.2,False,False
LLM-only,interface_type,SATA,SATA,True,False
LLM-only,form_factor,"2.5""",2.5-inch,False,False
LLM-only,storage_connection_type,"2.5"" SATA",SATA,False,False
LLM-only,model_number,GP-ASM2NE6100TTTD,AORUS1TBNVMe,False,False
LLM-only,model_number,912-V372-257,NV21P6C3R,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,DT100G3/128GB,DT100G3,False,False
LLM-only,bus_type,USB 3.0,SATA,False,False
LLM-only,interface_type,USB,SATA,False,False
LLM-only,form_factor,2.5,Portable,False,False
LLM-only,storage_connection_type,USB 3.0,USB,False,False
LLM-only,model_number,PH-RTX2060-6G,RTX2060-PH-6G,False,False
LLM-only,bus_type,SATA III,M.2,False,False
LLM-only,interface_type,SATA,M.2,False,False
LLM-only,model_number,N20702-08D6-1710VA23,Twin-X2-8GB-GDDR6-RTX2070,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,model_number,MZ-76P2T0B,SNVLF1KJ628739,False,False
LLM-only,model_number,CT2000P5SSD8,P5-CT2TW550A8,False,False
LLM-only,form_factor,Low Profile,Half-Height GPU,False,False
LLM-only,model_number,ZT-A30900D-10P,ZT-A30910B-30N,False,False
LLM-only,bus_type,PCIe 4.0,PCIe,False,False
LLM-only,model_number,CSSD-F500GBMP600,MP600-500GB,False,False
LLM-only,bus_type,PCIe 4.0,PCIe,False,False
LLM-only,interface_type,USB-C,Thunderbolt 3,False,False
LLM-only,model_number,CT1000P1SSD8,C800,False,False
LLM-only,model_number,MU-PC2T0H,T7PSSD0250,False,False
LLM-only,bus_type,USB 3.2 Gen 2,SATA,False,False
LLM-only,form_factor,"2.5""",Portable External HDD,False,False
LLM-only,model_number,ST300MP0106,300GB_8E5W6400,False,False
LLM-only,interface_type,SAS,SAS,True,False
LLM-only,model_number,GT 710 1GD3H LP,NR712-004F,False,False
LLM-only,model_number,02G-P3-2717-KR,02-01-0006,False,False
LLM-only,form_factor,Single Slot,"Full-Height, Full-Length (FHFL)",False,False
LLM-only,model_number,CT2000P1SSD8,P1CT2000BB3,False,False
LLM-only,bus_type,PCIe x16,PCIe,False,False
LLM-only,model_number,MZ-76E500BW,MZ-76E500BW,True,False
LLM-only,model_number,MU-PC1T0S/WW,MU-PG1T0S/AM,False,False
LLM-only,model_number,STHH1000400,STJD1000100,False,False
LLM-only,interface_type,USB 3.0 & USB-C,USB 3.0,False,False
LLM-only,form_factor,"2.5""",Portable,False,False
LLM-only,storage_connection_type,USB,USB 3.0,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,SDCZ48-032G-U46,SU032G3U3,False,False
LLM-only,model_number,MZ-76E2T0BW,870 EVO,False,False
LLM-only,model_number,801882-B21,HPE J5090A,False,False
LLM-only,model_number,WDS250G3X0C,WDBQ3E0020NBC,False,False
LLM-only,model_number,AGAMMIXS50-1TT-C,XPG GAMMIX S50 1TB,False,False
LLM-only,model_number,GV-N165SOC-4GD,GV-N165SOC-4GD,True,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,CT1000P5SSD8,P5-CT120P5SSD,False,False
LLM-only,storage_connection_type,USB,USB3.0,False,False
LLM-only,bus_type,PCIe x16,PCIe,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,GV-N105TOC-4GD,GV-N105T5OC-4GD,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,form_factor,Low Profile,Low Profile,True,False
LLM-only,model_number,LAC301558,9000953,False,False
LLM-only,form_factor,"2.5""",Portable,False,False
LLM-only,model_number,AGAMMIXS5-1TT-C,XPG GAMMIX S5 1TB,False,False
LLM-only,model_number,WD40PURX,PUS4180,False,False
