Loading datasets...
Dataset 1: 812 rows, KB: 2200 rows
Full eval set: 897 tasks
attribute
model_number        302
bus_type            154
read_speed_mb_s     122
height_mm           101
write_speed_mb_s     87
width_mm             84
model                47
Name: count, dtype: int64

Sampled eval set: 42 tasks across 25 rows
attribute
model_number        13
read_speed_mb_s      7
write_speed_mb_s     6
bus_type             5
height_mm            5
width_mm             4
model                2
Name: count, dtype: int64
Noisy KB built.
Loading embedding model...
Encoding clean KB...
Encoding noisy KB...
Encoding query rows...
LLM OK: "OK. What's on your m"

==================================================
CONFIG 1: LLM-only
==================================================
[LLM-only] 1/42 | 0.38s | ETA: 0.3 min | read_speed_mb_s | pred: 5800 | gt: 226.0 | ✗
[LLM-only] 2/42 | 0.52s | ETA: 0.3 min | model_number | pred: GV-N166SOWF2-6GD | gt: GV-N166SOC-6GD | ✗
[LLM-only] 3/42 | 0.53s | ETA: 0.3 min | model_number | pred: XPG GAMMIX S11 Pro 1TB | gt: AGAMMIXS11P-1TT-C | ✗
[LLM-only] 4/42 | 0.38s | ETA: 0.3 min | bus_type | pred: PCIe | gt: PCIe x16 | ✓
[LLM-only] 5/42 | 0.43s | ETA: 0.3 min | model_number | pred: GT-710-P | gt: NEAT7100HD46H | ✗
[LLM-only] 6/42 | 0.42s | ETA: 0.3 min | model_number | pred: 970 | gt: MZ-V7E250BW | ✗
[LLM-only] 7/42 | 0.51s | ETA: 0.3 min | model | pred: SP256GBP34A80M28 | gt: Ace - A80 | ✗
[LLM-only] 8/42 | 0.41s | ETA: 0.3 min | model_number | pred: KC600S512G | gt: SKC600/512G | ✗
[LLM-only] 9/42 | 0.39s | ETA: 0.2 min | write_speed_mb_s | pred: 500 | gt: 520.0 | ✓
[LLM-only] 10/42 | 0.37s | ETA: 0.2 min | bus_type | pred: PCIe | gt: PCIe 3.0 | ✓
[LLM-only] 11/42 | 0.48s | ETA: 0.2 min | model_number | pred: WDV500GD0A | gt: WD20EURX | ✗
[LLM-only] 12/42 | 0.39s | ETA: 0.2 min | read_speed_mb_s | pred: 2000 | gt: 40.0 | ✗
[LLM-only] 13/42 | 0.39s | ETA: 0.2 min | write_speed_mb_s | pred: 1000 | gt: 10.0 | ✗
[LLM-only] 14/42 | 0.37s | ETA: 0.2 min | height_mm | pred: 44 | gt: 25.4 | ✗
[LLM-only] 15/42 | 0.37s | ETA: 0.2 min | width_mm | pred: 146 | gt: 101.6 | ✗
