df1_idx,config,attribute,is_numeric,ground_truth,predicted,unknown,correct_standard,ce_judgment
0,RAG+BGE+Reranker,model_number,False,GV-N3080GAMING OC-10GD,GV-N3080GAMING OC-10GD,False,True,correct
2,RAG+BGE+Reranker,model_number,False,CSSD-F960GBMP510,CSSD-F960GBMP510B,False,True,correct
2,RAG+BGE+Reranker,read_speed_mb_s,True,3480.0,3480,False,True,correct
2,RAG+BGE+Reranker,write_speed_mb_s,True,3000.0,3000,False,True,correct
3,RAG+BGE+Reranker,read_speed_mb_s,True,226.0,226.0,False,True,correct
4,RAG+BGE+Reranker,width_mm,True,433.0,UNKNOWN,True,False,wrong
5,RAG+BGE+Reranker,bus_type,False,PCIe 3.0 x16,UNKNOWN,True,False,wrong
5,RAG+BGE+Reranker,model_number,False,90YV0CV2-M0NA00,UNKNOWN,True,False,wrong
6,RAG+BGE+Reranker,bus_type,False,USB 3.0,UNKNOWN,True,False,wrong
8,RAG+BGE+Reranker,model_number,False,GV-N166SOC-6GD,UNKNOWN,True,False,wrong
9,RAG+BGE+Reranker,bus_type,False,PCIe 3.0 x16,UNKNOWN,True,False,wrong
9,RAG+BGE+Reranker,model_number,False,V375-040R,UNKNOWN,True,False,wrong
9,RAG+BGE+Reranker,height_mm,True,46.0,UNKNOWN,True,False,wrong
9,RAG+BGE+Reranker,width_mm,True,127.0,UNKNOWN,True,False,wrong
11,RAG+BGE+Reranker,bus_type,False,PCIe 3.0,UNKNOWN,True,False,wrong
12,RAG+BGE+Reranker,bus_type,False,PCIe 4.0,UNKNOWN,True,False,wrong
12,RAG+BGE+Reranker,model_number,False,90YV0DQ0-M0NA00,UNKNOWN,True,False,wrong
18,RAG+BGE+Reranker,read_speed_mb_s,True,550.0,UNKNOWN,True,False,wrong
18,RAG+BGE+Reranker,write_speed_mb_s,True,520.0,UNKNOWN,True,False,wrong
18,RAG+BGE+Reranker,height_mm,True,7.0,UNKNOWN,True,False,wrong
20,RAG+BGE+Reranker,model,False,220S,UNKNOWN,True,False,wrong
20,RAG+BGE+Reranker,read_speed_mb_s,True,550.0,UNKNOWN,True,False,wrong
28,RAG+BGE+Reranker,height_mm,True,42.0,UNKNOWN,True,False,wrong
28,RAG+BGE+Reranker,width_mm,True,130.9,UNKNOWN,True,False,wrong
33,RAG+BGE+Reranker,read_speed_mb_s,True,130.0,UNKNOWN,True,False,wrong
33,RAG+BGE+Reranker,height_mm,True,20.8,UNKNOWN,True,False,wrong
33,RAG+BGE+Reranker,width_mm,True,87.9,UNKNOWN,True,False,wrong
41,RAG+BGE+Reranker,read_speed_mb_s,True,540.0,UNKNOWN,True,False,wrong
41,RAG+BGE+Reranker,height_mm,True,10.5,UNKNOWN,True,False,wrong
41,RAG+BGE+Reranker,width_mm,True,57.0,UNKNOWN,True,False,wrong
52,RAG+BGE+Reranker,bus_type,False,SATA III,UNKNOWN,True,False,wrong
52,RAG+BGE+Reranker,model,False,SU800,UNKNOWN,True,False,wrong
52,RAG+BGE+Reranker,read_speed_mb_s,True,560.0,UNKNOWN,True,False,wrong
52,RAG+BGE+Reranker,write_speed_mb_s,True,520.0,UNKNOWN,True,False,wrong
52,RAG+BGE+Reranker,height_mm,True,3.5,UNKNOWN,True,False,wrong
52,RAG+BGE+Reranker,width_mm,True,22.0,UNKNOWN,True,False,wrong
56,RAG+BGE+Reranker,read_speed_mb_s,True,560.0,UNKNOWN,True,False,wrong
56,RAG+BGE+Reranker,write_speed_mb_s,True,510.0,UNKNOWN,True,False,wrong
60,RAG+BGE+Reranker,model,False,Ironwolf 110,UNKNOWN,True,False,wrong
60,RAG+BGE+Reranker,read_speed_mb_s,True,560.0,UNKNOWN,True,False,wrong
77,RAG+BGE+Reranker,read_speed_mb_s,True,555.0,UNKNOWN,True,False,wrong
77,RAG+BGE+Reranker,write_speed_mb_s,True,520.0,UNKNOWN,True,False,wrong
77,RAG+BGE+Reranker,height_mm,True,7.0,UNKNOWN,True,False,wrong
95,RAG+BGE+Reranker,model_number,False,801882-B21,UNKNOWN,True,False,wrong
95,RAG+BGE+Reranker,model,False,ISS,UNKNOWN,True,False,wrong
137,RAG+BGE+Reranker,model,False,L200,UNKNOWN,True,False,wrong
13,RAG+BGE+Reranker,model_number,False,AGAMMIXS11P-1TT-C,UNKNOWN,True,False,wrong
14,RAG+BGE+Reranker,model_number,False,GV-R56XTGAMING OC-6GD,UNKNOWN,True,False,wrong
15,RAG+BGE+Reranker,bus_type,False,PCIe 3.0 x16,UNKNOWN,True,False,wrong
15,RAG+BGE+Reranker,model_number,False,100-506008,UNKNOWN,True,False,wrong
16,RAG+BGE+Reranker,model_number,False,NE6166SS18J9-161F,UNKNOWN,True,False,wrong
