df1_idx,config,attribute,is_numeric,ground_truth,predicted,unknown,correct_standard,ce_judgment
0,RAG,model_number,False,GV-N3080GAMING OC-10GD,GV-N3080GAMING OC-10GD,False,True,correct
2,RAG,model_number,False,CSSD-F960GBMP510,CSSD-F960GBMP510,False,True,correct
2,RAG,read_speed_mb_s,True,3480.0,3480,False,True,correct
2,RAG,write_speed_mb_s,True,3000.0,3000,False,True,correct
3,RAG,read_speed_mb_s,True,226.0,226.0,False,True,correct
4,RAG,width_mm,True,433.0,433,False,True,correct
5,RAG,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x16,False,True,correct
5,RAG,model_number,False,90YV0CV2-M0NA00,90YV0CV2-M0NA00,False,True,correct
6,RAG,bus_type,False,USB 3.0,USB 2.0,False,False,correct
8,RAG,model_number,False,GV-N166SOC-6GD,GV-N1660OC-6GD,False,False,correct
9,RAG,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x16,False,True,correct
9,RAG,model_number,False,V375-040R,912-V375-040,False,False,correct
9,RAG,height_mm,True,46.0,54,False,False,acceptable
9,RAG,width_mm,True,127.0,140,False,False,acceptable
11,RAG,bus_type,False,PCIe 3.0,PCIe 3.0,False,True,correct
12,RAG,bus_type,False,PCIe 4.0,PCIe 3.0 x16,False,False,correct
12,RAG,model_number,False,90YV0DQ0-M0NA00,ROG-STRIX-RTX2060S-O8G-GAMING,False,False,wrong
18,RAG,read_speed_mb_s,True,550.0,550,False,True,correct
18,RAG,write_speed_mb_s,True,520.0,550,False,True,correct
18,RAG,height_mm,True,7.0,7.0,False,True,correct
20,RAG,model,False,220S,220S,False,True,correct
20,RAG,read_speed_mb_s,True,550.0,550,False,True,correct
28,RAG,height_mm,True,42.0,37,False,False,acceptable
28,RAG,width_mm,True,130.9,107,False,False,acceptable
33,RAG,read_speed_mb_s,True,130.0,UNKNOWN,True,False,wrong
33,RAG,height_mm,True,20.8,67,False,False,wrong
33,RAG,width_mm,True,87.9,88,False,True,correct
41,RAG,read_speed_mb_s,True,540.0,540,False,True,correct
41,RAG,height_mm,True,10.5,10.5,False,True,correct
41,RAG,width_mm,True,57.0,57.3,False,True,correct
52,RAG,bus_type,False,SATA III,SATA III,False,True,correct
52,RAG,model,False,SU800,Ultimate SU800,False,True,correct
52,RAG,read_speed_mb_s,True,560.0,560,False,True,correct
52,RAG,write_speed_mb_s,True,520.0,3000,False,False,wrong
52,RAG,height_mm,True,3.5,UNKNOWN,True,False,wrong
52,RAG,width_mm,True,22.0,UNKNOWN,True,False,wrong
56,RAG,read_speed_mb_s,True,560.0,560,False,True,correct
56,RAG,write_speed_mb_s,True,510.0,510,False,True,correct
60,RAG,model,False,Ironwolf 110,IronWolf 110,False,True,correct
60,RAG,read_speed_mb_s,True,560.0,560,False,True,correct
77,RAG,read_speed_mb_s,True,555.0,560,False,True,correct
77,RAG,write_speed_mb_s,True,520.0,560,False,True,correct
77,RAG,height_mm,True,7.0,UNKNOWN,True,False,wrong
95,RAG,model_number,False,801882-B21,801882-B21,False,True,correct
95,RAG,model,False,ISS,HPE 1TB SATA LFF,False,False,wrong
137,RAG,model,False,L200,L200,False,True,correct
13,RAG,model_number,False,AGAMMIXS11P-1TT-C,AGAMMIXS11P-1TT-C,False,True,correct
14,RAG,model_number,False,GV-R56XTGAMING OC-6GD,GV-R56XTGAMING OC-6GD,False,True,correct
15,RAG,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x8,False,False,correct
15,RAG,model_number,False,100-506008,100-506008,False,True,correct
16,RAG,model_number,False,NE6166SS18J9-161F,NE6166S018J9-1160A,False,False,correct
