df1_idx,attribute,ground_truth,is_numeric,pred_LLM-only,correct_LLM-only,judgment_LLM-only,pred_RAG clean,correct_RAG clean,judgment_RAG clean,pred_RAG confusing,correct_RAG confusing,judgment_RAG confusing,pred_+Reranker,correct_+Reranker,judgment_+Reranker,pred_Confusing+RR,correct_Confusing+RR,judgment_Confusing+RR,pred_BGE+RR,correct_BGE+RR,judgment_BGE+RR,n_correct,n_configs
5,bus_type,PCIe 3.0 x16,False,PCIe,True,acceptable,PCIe 3.0,True,acceptable,PCIe 3.0 x16,True,correct,UNKNOWN,False,wrong,PCIe 3.0 x16,True,correct,PCIe,True,wrong,5,6
6,bus_type,USB 3.0,False,UNKNOWN,False,wrong,USB 3.0,True,correct,USB 2.0,False,wrong,USB 3.0,True,correct,USB 2.0,False,correct,USB 3.1,False,correct,2,6
9,bus_type,PCIe 3.0 x16,False,PCIe,True,acceptable,PCIe 3.0 x16,True,correct,PCIe 3.0 x16,True,correct,PCIe 3.0 x16,True,correct,PCIe 3.0 x16,True,correct,PCIe 3.0 x16,True,correct,6,6
11,bus_type,PCIe 3.0,False,PCIe x16,False,acceptable,PCIe 3.0,True,correct,PCIe 3.0,True,correct,PCIe 3.0,True,correct,PCIe 3.0,True,correct,PCIe 3.0,True,correct,5,6
12,bus_type,PCIe 4.0,False,PCIe,True,acceptable,SATA III,False,wrong,PCIe 3.0 x16,False,acceptable,PCIe,True,acceptable,PCIe 3.0 x16,False,correct,PCIe 3.0 x16,False,correct,2,6
15,bus_type,PCIe 3.0 x16,False,PCIe,True,acceptable,PCIe 3.0 x8,False,acceptable,PCIe 3.0 x8,False,acceptable,PCIe 3.0 x16,True,correct,PCIe 3.0 x8,False,correct,PCIe 3.0 x8,False,correct,2,6
52,bus_type,SATA III,False,M.2,False,wrong,SATA III,True,correct,SATA III,True,correct,SATA III,True,correct,SATA III,True,correct,SATA III,True,correct,5,6
9,height_mm,46.0,True,UNKNOWN,False,wrong,UNKNOWN,False,wrong,54,False,wrong,46,True,correct,54,False,acceptable,46,True,correct,2,6
18,height_mm,7.0,True,UNKNOWN,False,wrong,7,True,correct,7,True,correct,7.0,True,correct,7.0,True,correct,7,True,correct,5,6
28,height_mm,42.0,True,UNKNOWN,False,wrong,42,True,correct,38,True,wrong,42.0,True,correct,37,False,acceptable,42,True,correct,4,6
33,height_mm,20.8,True,7,False,wrong,20.8,True,correct,20.8,True,correct,UNKNOWN,False,wrong,67,False,wrong,UNKNOWN,False,wrong,2,6
41,height_mm,10.5,True,UNKNOWN,False,wrong,UNKNOWN,False,wrong,UNKNOWN,False,wrong,10.5,True,correct,10.5,True,correct,10.5,True,correct,3,6
52,height_mm,3.5,True,UNKNOWN,False,wrong,3.5,True,correct,3.5,True,correct,22,False,wrong,UNKNOWN,False,wrong,UNKNOWN,False,wrong,2,6
77,height_mm,7.0,True,7,True,correct,UNKNOWN,False,wrong,7,True,correct,UNKNOWN,False,wrong,UNKNOWN,False,wrong,UNKNOWN,False,wrong,2,6
20,model,220S,False,UNKNOWN,False,wrong,220S,True,correct,220S,True,correct,220S,True,correct,220S,True,correct,SSD220,False,wrong,4,6
52,model,SU800,False,ASU800NS38,True,wrong,ASU800NS38-256GT-C,True,wrong,Ultimate SU800,True,acceptable,Ultimate SU800,True,correct,Ultimate SU800,True,correct,Ultimate SU800,True,correct,6,6
60,model,Ironwolf 110,False,SG SSD,False,wrong,Nytro 1000,False,wrong,IronWolf 110,True,correct,Barracuda Q1,False,wrong,IronWolf 110,True,correct,Nytro 1351,False,wrong,2,6
95,model,ISS,False,HPE,False,wrong,801882-B21,False,wrong,HPE 2TB SATA LFF,False,wrong,801882-B21,False,wrong,HPE 1TB SATA LFF,False,wrong,801882-B21,False,wrong,0,6
137,model,L200,False,Toshiba,False,wrong,Toshiba 2TB 3.5,False,wrong,MQ04ABD200,False,wrong,L200,True,correct,L200,True,correct,L200,True,correct,3,6
0,model_number,GV-N3080GAMING OC-10GD,False,UNKNOWN,False,wrong,GV-N3080GAMING OC-10GD,True,correct,GV-N3080GAMING OC-10GD,True,correct,GV-N3080GAMING OC-10GD,True,correct,GV-N3080GAMING OC-10GD,True,correct,GV-N3080GAMING OC-10GD,True,correct,5,6
2,model_number,CSSD-F960GBMP510,False,CSSD-F960GBMP510,True,correct,CSSD-F960GBMP510,True,correct,CSSD-F960GBMP510,True,correct,CSSD-F960GBMP510,True,correct,CSSD-F960GBMP510,True,correct,UNKNOWN,False,wrong,5,6
