df1_idx,config,attribute,is_numeric,ground_truth,predicted,unknown,correct_standard,llm_judgment
0,RAG,model_number,False,GV-N3080GAMING OC-10GD,GV-N3080GAMING OC-10GD,False,True,correct
2,RAG,model_number,False,CSSD-F960GBMP510,MP510,False,True,acceptable
2,RAG,read_speed_mb_s,True,3480.0,3480,False,True,correct
2,RAG,write_speed_mb_s,True,3000.0,3000,False,True,correct
3,RAG,read_speed_mb_s,True,226.0,UNKNOWN,True,False,wrong
4,RAG,width_mm,True,433.0,UNKNOWN,True,False,wrong
5,RAG,bus_type,False,PCIe 3.0 x16,PCIE 3.0,False,True,acceptable
5,RAG,model_number,False,90YV0CV2-M0NA00,DUAL-OC-4G-G5,False,False,correct
6,RAG,bus_type,False,USB 3.0,USB 3.0,False,True,correct
8,RAG,model_number,False,GV-N166SOC-6GD,GV-N166SIX-6GD,False,False,acceptable
9,RAG,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x16,False,True,correct
9,RAG,model_number,False,V375-040R,912-V375-040,False,False,acceptable
9,RAG,height_mm,True,46.0,UNKNOWN,True,False,wrong
9,RAG,width_mm,True,127.0,UNKNOWN,True,False,wrong
11,RAG,bus_type,False,PCIe 3.0,PCIe 3.0,False,True,correct
12,RAG,bus_type,False,PCIe 4.0,PCIe,False,True,acceptable
12,RAG,model_number,False,90YV0DQ0-M0NA00,RTX2060SUPER-EVO-OC,False,False,correct
18,RAG,read_speed_mb_s,True,550.0,550,False,True,correct
18,RAG,write_speed_mb_s,True,520.0,520,False,True,correct
18,RAG,height_mm,True,7.0,7.0,False,True,correct
20,RAG,model,False,220S,220S,False,True,correct
20,RAG,read_speed_mb_s,True,550.0,UNKNOWN,True,False,wrong
28,RAG,height_mm,True,42.0,UNKNOWN,True,False,wrong
28,RAG,width_mm,True,130.9,130.9,False,True,correct
33,RAG,read_speed_mb_s,True,130.0,UNKNOWN,True,False,wrong
33,RAG,height_mm,True,20.8,20.8,False,True,correct
33,RAG,width_mm,True,87.9,UNKNOWN,True,False,wrong
41,RAG,read_speed_mb_s,True,540.0,UNKNOWN,True,False,wrong
41,RAG,height_mm,True,10.5,10.5,False,True,correct
41,RAG,width_mm,True,57.0,UNKNOWN,True,False,wrong
52,RAG,bus_type,False,SATA III,SATA III,False,True,correct
52,RAG,model,False,SU800,Ultimate SU800,False,True,acceptable
52,RAG,read_speed_mb_s,True,560.0,560,False,True,correct
52,RAG,write_speed_mb_s,True,520.0,520,False,True,correct
52,RAG,height_mm,True,3.5,3.5,False,True,correct
52,RAG,width_mm,True,22.0,22.0,False,True,correct
56,RAG,read_speed_mb_s,True,560.0,560,False,True,correct
56,RAG,write_speed_mb_s,True,510.0,510,False,True,correct
60,RAG,model,False,Ironwolf 110,SG SSD,False,False,acceptable
60,RAG,read_speed_mb_s,True,560.0,UNKNOWN,True,False,wrong
77,RAG,read_speed_mb_s,True,555.0,UNKNOWN,True,False,wrong
77,RAG,write_speed_mb_s,True,520.0,UNKNOWN,True,False,wrong
77,RAG,height_mm,True,7.0,7,False,True,correct
95,RAG,model_number,False,801882-B21,801882-B21,False,True,correct
95,RAG,model,False,ISS,UNKNOWN,True,False,wrong
137,RAG,model,False,L200,HDWL120UZSVA,False,False,correct
13,RAG,model_number,False,AGAMMIXS11P-1TT-C,XPG GAMMIX S11 Pro,False,False,acceptable
14,RAG,model_number,False,GV-R56XTGAMING OC-6GD,Radeon RX 5600 XT GAMING OC,False,False,acceptable
15,RAG,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x8,False,False,acceptable
15,RAG,model_number,False,100-506008,100-506008,False,True,correct
16,RAG,model_number,False,NE6166SS18J9-161F,NE51660018J9-165F,False,False,acceptable
