id,brand,title,description,price,priceCurrency,cluster_id,url,title_description,model,model_number,product_type,chipset_name,vram_gb,storage_gb,read_speed_mb_s,write_speed_mb_s,bus_type,interface_type,width_mm,length_mm,height_mm,weight_g,storage_connection_type,memory_type,color,form_factor
23177102,Sandisk,SanDisk Ultra Flair 256GB USB 3.0 Flash Drive - SDCZ73-256G-G46,"The SanDisk Ultra Flair USB 3.0 flash drive moves your files fast. Spend less time waiting to transfer files and enjoy high-speed USB 3.0 performance of up to 150MB/s. With transfer speeds to drive up to 15 times faster than standard USB 2.0 drives, you can transfer a full length movie in less than 30 seconds. Its durable and sleek metal casing is tough enough to handle knocks with style. And, with password protection, you can rest assured that your private files stay private. Help secure files in style with the SanDisk Ultra Flair USB 3.0 flash drive.",59.99,USD,231313,https://www.kool-heads.com/product/sandisk-ultra-flair-256gb-usb-3-0-flash-drive-sdcz73-256g-g46,"SanDisk Ultra Flair 256GB USB 3.0 Flash Drive - SDCZ73-256G-G46. Description: The SanDisk Ultra Flair USB 3.0 flash drive moves your files fast. Spend less time waiting to transfer files and enjoy high-speed USB 3.0 performance of up to 150MB/s. With transfer speeds to drive up to 15 times faster than standard USB 2.0 drives, you can transfer a full length movie in less than 30 seconds. Its durable and sleek metal casing is tough enough to handle knocks with style. And, with password protection, you can rest assured that your private files stay private. Help secure files in style with the SanDisk Ultra Flair USB 3.0 flash drive.",Ultra Flair,SDCZ73-256G-G46,USB_STICK,,,256.0,150.0,,USB 3.1,,,,,,,,,
85120676,ADATA,A-DATA - Superior Series S102 Pro - USB flash drive -,A-DATA Superior Series S102 Pro - USB flash drive - (AS102P-32G-RBL) - Minnestørrelse: 32GB - Type: USB 3.0,179.0,NOK,597775,https://thandel.no/a-data-superior-series-s102-pro/cat-p/c0/p4569107,A-DATA - Superior Series S102 Pro - USB flash drive -. Description: A-DATA Superior Series S102 Pro - USB flash drive - (AS102P-32G-RBL) - Minnestørrelse: 32GB - Type: USB 3.0,Superior Series S102 Pro,AS102P-32G-RBL,USB_STICK,,,32.0,,,USB 3.0,,,,,,,,,
6555172,Hewlett Packard Enterprise,HPE 900Gb Sas 15K Sff Sc Ds HDd,"OverviewDo your servers need high-performance enterprise hard drives for both your mission-critical and I/O-intensive applications? HPE Server Enterprise Hard Drives offer the highest level of performance and reliability for your most demanding application workloads. Enterprise drives help you improve server response times, power more transactions per second, and accelerate data transfer (I/O) speeds. HPE Server Enterprise Hard Drives are backed by over 3.35 million hours of the industry’s most rigorous testing and qualification program, ensuring customers' reliable, rugged drives. Prevent unauthorized access to your data with HPE Digitally Signed Firmware. It provides the security and assurance that drive firmware comes from a trusted source and protects against malicious attacks. The self-describing icons on the HPE Smart Carrier takes the guesswork out of a drive’s status, and a “do not remove” button prevents data loss from human error.FeaturesPerformance and Reliability for Any WorkloadHPE Server Enterprise Hard Drives are ideal for transaction processing, database applications, Big Data analytics, and high-performance computing.Broad portfolio of customized solutions provide up to 2.4 TB of storage.Efficient drives provide power for space constrained data centers.Latest 12G SAS interface for increased performance.Stable and consistent portfolio of drives offering long life cycles and steady supply.Tech SpecsGENERALDevice TypeHard drive - hot-swapCapacity900 GBForm Factor2.5\"" SFFInterfaceSAS 12Gb/sBytes per Sector512FeaturesAdvanced format 512n, Digitally Signed FirmwareWidth75.7 mmDepth118.7 mmHeight15.6 mmBundled withHPE SmartDrive carrierPERFORMANCEDrive Transfer Rate1.2 GBps (external)Seek Time2.72 ms (average) / 5.36 ms (max)Track-to-Track Seek Time0.22 msSpindle Speed15000 rpmEXPANSION & CONNECTIVITYInterfaces1 x SAS 12 Gb/sCompatible Bay2.5\"" SFFMANUFACTURER WARRANTYService & SupportLimited warranty - 3 yearsENVIRONMENTAL PARAMETERSMin Operating Temperature10 CMax Operating Temperature35 CCOMPATIBILITY INFORMATIONDesigned ForHPE ProLiant BL460c Gen10 (2.5\""), DL20 Gen9 (2.5\""), DL20 Gen9 Base (2.5\""), DL20 Gen9 Entry (2.5\""), DL20 Gen9 Performance (2.5\""), DL20 Gen9 Solution (2.5\""), DL20 Gen9 Special Server (2.5\""), DL360 Gen10 (2.5\""), DL360 Gen10 Base (2.5\""), DL360 Gen10 Entry (2.5\""), DL360 Gen10 High Performance (2.5\""), DL360 Gen10 Low (2.5\""), DL360 Gen10 Performance (2.5\""), DL360 Gen10 Solution (2.5\""), DL360 Gen9 CMS (2.5\""), DL360 Gen9 Special Server (2.5\""), DL380 Gen10 (2.5\""), DL380 Gen10 Base (2.5\""), DL380 Gen10 Entry (2.5\""), DL380 Gen10 High Performance (2.5\""), DL380 Gen10 Performance (2.5\""), DL380 Gen10 Solution (2.5\""), DL380 Gen9 Special (2.5\""), DL385 Gen10 (2.5\""), DL385 Gen10 Base (2.5\""), DL385 Gen10 Entry (2.5\""), DL385 Gen10 High-Performance (2.5\""), DL385 Gen10 Performance (2.5\""), DL385 Gen10 Solution (2.5\""), DL388 Gen9 (2.5\""), DL388 Gen9 Base (2.5\""), DL560 Gen10 (2.5\""), DL560 Gen10 Base (2.5\""), DL560 Gen10 Entry (2.5\""), DL560 Gen10 Performance (2.5\""), DL580 Gen9 Base (2.5\""), DL580 Gen9 Database (2.5\""), DL580 Gen9 High Performance (2.5\""), DL580 Gen9 SAP HANA Scale-up Base Configuration (2.5\""), ML110 Gen10 (2.5\""), ML110 Gen10 Performance (2.5\""), ML110 Gen10 Solution (2.5\""), ML30 Gen9 Entry (2.5\""), ML30 Gen9 Solution (2.5\""), ML350 Gen10 (2.5\""), ML350 Gen10 Base (2.5\""), ML350 Gen10 Entry (2.5\""), ML350 Gen10 Performance (2.5\""), ML350 Gen10 Solution (2.5\""), ML350 Gen10 Sub-Entry (2.5\""), XL170r Gen10 (2.5\""), XL230k Gen10 Compute Tray (2.5\""), XL450 Gen10 (2.5\"") HPE Synergy 480 Gen10 Base Compute Module (2.5\""), 480 Gen10 Entry Compute Module (2.5\""), 480 Gen10 Performance Compute Module (2.5\""), 480 Gen10 Premium Backplane Compute Module (2.5\""), 480 Gen10 Standard BackPlane Compute Module (2.5\""), 480 Gen10 w/o Drives Compute Module (2.5\""), 660 Gen10 Base Compute Module (2.5\""), 660 Gen10 Compute Module (2.5\""), 660 Gen10 Entry Compute Module (2.5\""), 660 Gen10 Performance Compute Module (2.5\""), 660 Gen10 Premium Compute Module (2.5\"")",827.95,AUD,2022564,https://www.techtide.com.au/products/870759-b21,"HPE 900Gb Sas 15K Sff Sc Ds HDd. Description: OverviewDo your servers need high-performance enterprise hard drives for both your mission-critical and I/O-intensive applications? HPE Server Enterprise Hard Drives offer the highest level of performance and reliability for your most demanding application workloads. Enterprise drives help you improve server response times, power more transactions per second, and accelerate data transfer (I/O) speeds. HPE Server Enterprise Hard Drives are backed by over 3.35 million hours of the industry’s most rigorous testing and qualification program, ensuring customers' reliable, rugged drives. Prevent unauthorized access to your data with HPE Digitally Signed Firmware. It provides the security and assurance that drive firmware comes from a trusted source and protects against malicious attacks. The self-describing icons on the HPE Smart Carrier takes the guesswork out of a drive’s status, and a “do not remove” button prevents data loss from human error.FeaturesPerformance and Reliability for Any WorkloadHPE Server Enterprise Hard Drives are ideal for transaction processing, database applications, Big Data analytics, and high-performance computing.Broad portfolio of customized solutions provide up to 2.4 TB of storage.Efficient drives provide power for space constrained data centers.Latest 12G SAS interface for increased performance.Stable and consistent portfolio of drives offering long life cycles and steady supply.Tech SpecsGENERALDevice TypeHard drive - hot-swapCapacity900 GBForm Factor2.5\"" SFFInterfaceSAS 12Gb/sBytes per Sector512FeaturesAdvanced format 512n, Digitally Signed FirmwareWidth75.7 mmDepth118.7 mmHeight15.6 mmBundled withHPE SmartDrive carrierPERFORMANCEDrive Transfer Rate1.2 GBps (external)Seek Time2.72 ms (average) / 5.36 ms (max)Track-to-Track Seek Time0.22 msSpindle Speed15000 rpmEXPANSION & CONNECTIVITYInterfaces1 x SAS 12 Gb/sCompatible Bay2.5\"" SFFMANUFACTURER WARRANTYService & SupportLimited warranty - 3 yearsENVIRONMENTAL PARAMETERSMin Operating Temperature10 CMax Operating Temperature35 CCOMPATIBILITY INFORMATIONDesigned ForHPE ProLiant BL460c Gen10 (2.5\""), DL20 Gen9 (2.5\""), DL20 Gen9 Base (2.5\""), DL20 Gen9 Entry (2.5\""), DL20 Gen9 Performance (2.5\""), DL20 Gen9 Solution (2.5\""), DL20 Gen9 Special Server (2.5\""), DL360 Gen10 (2.5\""), DL360 Gen10 Base (2.5\""), DL360 Gen10 Entry (2.5\""), DL360 Gen10 High Performance (2.5\""), DL360 Gen10 Low (2.5\""), DL360 Gen10 Performance (2.5\""), DL360 Gen10 Solution (2.5\""), DL360 Gen9 CMS (2.5\""), DL360 Gen9 Special Server (2.5\""), DL380 Gen10 (2.5\""), DL380 Gen10 Base (2.5\""), DL380 Gen10 Entry (2.5\""), DL380 Gen10 High Performance (2.5\""), DL380 Gen10 Performance (2.5\""), DL380 Gen10 Solution (2.5\""), DL380 Gen9 Special (2.5\""), DL385 Gen10 (2.5\""), DL385 Gen10 Base (2.5\""), DL385 Gen10 Entry (2.5\""), DL385 Gen10 High-Performance (2.5\""), DL385 Gen10 Performance (2.5\""), DL385 Gen10 Solution (2.5\""), DL388 Gen9 (2.5\""), DL388 Gen9 Base (2.5\""), DL560 Gen10 (2.5\""), DL560 Gen10 Base (2.5\""), DL560 Gen10 Entry (2.5\""), DL560 Gen10 Performance (2.5\""), DL580 Gen9 Base (2.5\""), DL580 Gen9 Database (2.5\""), DL580 Gen9 High Performance (2.5\""), DL580 Gen9 SAP HANA Scale-up Base Configuration (2.5\""), ML110 Gen10 (2.5\""), ML110 Gen10 Performance (2.5\""), ML110 Gen10 Solution (2.5\""), ML30 Gen9 Entry (2.5\""), ML30 Gen9 Solution (2.5\""), ML350 Gen10 (2.5\""), ML350 Gen10 Base (2.5\""), ML350 Gen10 Entry (2.5\""), ML350 Gen10 Performance (2.5\""), ML350 Gen10 Solution (2.5\""), ML350 Gen10 Sub-Entry (2.5\""), XL170r Gen10 (2.5\""), XL230k Gen10 Compute Tray (2.5\""), XL450 Gen10 (2.5\"") HPE Synergy 480 Gen10 Base Compute Module (2.5\""), 480 Gen10 Entry Compute Module (2.5\""), 480 Gen10 Performance Compute Module (2.5\""), 480 Gen10 Premium Backplane Compute Module (2.5\""), 480 Gen10 Standard BackPlane Compute Module (2.5\""), 480 Gen10 w/o Drives Compute Module (2.5\""), 660 Gen10 Base Compute Module (2.5\""), 660 Gen10 Compute Module (2.5\""), 660 Gen10 Entry Compute Module (2.5\""), 660 Gen10 Performance Compute Module (2.5\""), 660 Gen10 Premium Compute Module (2.5\"")",900Gb Sas 15K Sff Sc Ds HDd,,HDD,,,900.0,,,SAS 6G,SAS,75.7,,15.6,,"2.5"" SFF",,,"2.5"" SFF"
79322922,Kingston,"Memorie USB Kingston DataTraveler Micro, 32GB, USB 3.1 - DTMC3/32GB","Memorie USB Kingston DataTraveler Micro, 32GB, USB 3.1 - DTMC3/32GB",113.0,RON,1797490,http://shop.avansoft.ro/cumpara/memorie-usb-kingston-datatraveler-micro-32gb-usb-3-1-dtmc3-32gb-6596,"Memorie USB Kingston DataTraveler Micro, 32GB, USB 3.1 - DTMC3/32GB. Description: Memorie USB Kingston DataTraveler Micro, 32GB, USB 3.1 - DTMC3/32GB",DataTraveler Micro,DTMC3/32GB,USB_STICK,,,32.0,,,USB 3.1,,,,,,,,,
12726597,M&M,M&M USB Flash Drive,Buy M&M USB Flash Drive at yourtecshop.com! Free shipping to 185 countries. 45 days money back guarantee.,15.95,USD,78417051,https://yourtecshop.com/chocolate-mm-pen-drive-usb-flash-drive-4gb-8gb-16gb-32gb-64g-usb-stick-memory-pendrive-u-disk-creative-lovely-fun-gift-hot-sale,M&M USB Flash Drive. Description: Buy M&M USB Flash Drive at yourtecshop.com! Free shipping to 185 countries. 45 days money back guarantee.,USB Flash Drive,,USB_STICK,,,,,,,,,,,,,,,
29162459,Seagate,Seagate Game Drive Hub for Xbox STGG8000400 - Hard drive - 8 TB - external (portable) - USB 3.0 - white,"Seagate Game Drive STGG8000400 8 TB Hard Drive - External - Portable - USB 3.0 - White High-capacity storage upgrade with integrated USB hub for your Xbox One KEY FEATURES Massive 8 TB capacity - plenty of storage for 200+ Xbox One games. Integrated dual front-facing USB 3.0 ports let you conveniently charge your controllers and mobile devices, and connect other Xbox One accessories. Designed and tested in collaboration with Xbox to work seamlessly with any generation of Xbox One. High-speed USB 3.0 connectivity delivers full gaming performance - like playing from your console's internal hard drive. Fast and simple setup - no tools required. Your Xbox One automatically detects your drive when connected to the USB port and walks you through the basic installation process. Want to take your game collection on the road? Plug into your friends' Xbox One console, and continue your game progress like you never left home. Compatibility: Microsoft Xbox Gaming Console: Xbox One Xbox One S STGG8000400Seagate Game Drive Hub for Xbox 8TB Storage With Dual USB Ports (STGG8000400) With the Game Drive Hub for Xbox, you can stretch out with a colossal 8TB—plenty of room to install 200+ games. Easily take care of your game storage needs and make deleting old games truly a thing of the past. Plus all that extra space is useful for the sizeable game-save data and downloadable content you’ll want to hold on to. 1 The Game Drive Hub for Xbox is an officially Xbox-licensed storage product with: Dual front-facing USB 3.0 ports Plug-and-play setup that gets you playing in seconds High-speed USB 3.0 performance Seagate Game Drive Hub for Xbox STGG8000400 - Hard drive - 8 TB - external (portable) - USB 3.0 - whiteWith the Game Drive Hub for Xbox, you can stretch out with a colossal 8 TB - plenty of room to install 200+ games. Easily take care of your game storage needs and make deleting old games truly a thing of the past. Plus all that extra space is useful for t ... Show More",219.99,CAD,2365887,https://dealsnap.net/u/STGG8000400-Seagate-Game-Drive-Hub-for-Xbox-8TB-Storage-With-Dual-USB-Ports,"Seagate Game Drive Hub for Xbox STGG8000400 - Hard drive - 8 TB - external (portable) - USB 3.0 - white. Description: Seagate Game Drive STGG8000400 8 TB Hard Drive - External - Portable - USB 3.0 - White High-capacity storage upgrade with integrated USB hub for your Xbox One KEY FEATURES Massive 8 TB capacity - plenty of storage for 200+ Xbox One games. Integrated dual front-facing USB 3.0 ports let you conveniently charge your controllers and mobile devices, and connect other Xbox One accessories. Designed and tested in collaboration with Xbox to work seamlessly with any generation of Xbox One. High-speed USB 3.0 connectivity delivers full gaming performance - like playing from your console's internal hard drive. Fast and simple setup - no tools required. Your Xbox One automatically detects your drive when connected to the USB port and walks you through the basic installation process. Want to take your game collection on the road? Plug into your friends' Xbox One console, and continue your game progress like you never left home. Compatibility: Microsoft Xbox Gaming Console: Xbox One Xbox One S STGG8000400Seagate Game Drive Hub for Xbox 8TB Storage With Dual USB Ports (STGG8000400) With the Game Drive Hub for Xbox, you can stretch out with a colossal 8TB—plenty of room to install 200+ games. Easily take care of your game storage needs and make deleting old games truly a thing of the past. Plus all that extra space is useful for the sizeable game-save data and downloadable content you’ll want to hold on to. 1 The Game Drive Hub for Xbox is an officially Xbox-licensed storage product with: Dual front-facing USB 3.0 ports Plug-and-play setup that gets you playing in seconds High-speed USB 3.0 performance Seagate Game Drive Hub for Xbox STGG8000400 - Hard drive - 8 TB - external (portable) - USB 3.0 - whiteWith the Game Drive Hub for Xbox, you can stretch out with a colossal 8 TB - plenty of room to install 200+ games. Easily take care of your game storage needs and make deleting old games truly a thing of the past. Plus all that extra space is useful for t ... Show More",Game Drive Hub for Xbox,STGG8000400,HDD,,,8000.0,,,USB 3.0,USB 3.0,,,,,USB 3.0,,white,
84864631,MSI,MSI nVidia Geforce GTX 1660 SUPER VENTUS XS OC 6GB GDDR6 7680 x4320 3xDP1.4 1xHDMI2.0b 1815 MHz TORX Fan 2.0 G-SYNC VR,MSI nVidia Geforce GTX 1660 SUPER VENTUS XS OC 6GB GDDR6 7680 x4320 3xDP1.4 1xHDMI2.0b 1815 MHz T...,411.0,AUD,228952,https://zeppgear.com.au/products/msi-nvidia-geforce-gtx-1660-super-ventus-xs-oc-6gb-gddr6-7680-x4320-3xdp1-4-1xhdmi2-0b-1815-mhz-torx-fan-2-0-g-sync-vr,MSI nVidia Geforce GTX 1660 SUPER VENTUS XS OC 6GB GDDR6 7680 x4320 3xDP1.4 1xHDMI2.0b 1815 MHz TORX Fan 2.0 G-SYNC VR. Description: MSI nVidia Geforce GTX 1660 SUPER VENTUS XS OC 6GB GDDR6 7680 x4320 3xDP1.4 1xHDMI2.0b 1815 MHz T...,Geforce GTX 1660 SUPER VENTUS XS OC,,GPU,GeForce GTX 1660 Super,6.0,,,,,,,,,,,GDDR6,,
4648146,Western Digital,"Western Digital My Passport 2000GB Zwart, Zilver - [WDBKVX0020PSL-WESN] externe SSD","(Solid, -, 2000GB, Digital, Drive), Externe, My, Passport, SSD, State, Western, Western Digital, Zilver, Zwart,, [WDBKVX0020PSL-WESN], externe",329.0,EUR,2802296,https://www.megekko.nl/product/2019/227070/Externe-SSD/Western-Digital-My-Passport-2000GB-Zwart-Zilver-WDBKVX0020PSL-WESN-externe-SSD,"Western Digital My Passport 2000GB Zwart, Zilver - [WDBKVX0020PSL-WESN] externe SSD. Description: (Solid, -, 2000GB, Digital, Drive), Externe, My, Passport, SSD, State, Western, Western Digital, Zilver, Zwart,, [WDBKVX0020PSL-WESN], externe",My Passport,SSDSC2KB240G801,SSD,,,2000.0,,,,,,,,,,,"Zwart, Zilver",
20024247,Hewlett Packard Enterprise,HPE 1TB 6G SATA 3.5in NON HOTPLUG (NHP)HDD [801882-B21],HPE 1TB 6G SATA 3.5in NON HOTPLUG (NHP)HDD,185.0,AUD,1339299,https://highertech.com/products/servers-server-option-hdd-801882-b21,HPE 1TB 6G SATA 3.5in NON HOTPLUG (NHP)HDD [801882-B21]. Description: HPE 1TB 6G SATA 3.5in NON HOTPLUG (NHP)HDD,,801882-B21,HDD,,,1000.0,,,SATA,SATA,,,,,3.5-inch SATA,,,3.5in
18325004,Samsung,Samsung 970 EVO Plus Series 250GB PCIe NVMe-M.2 Internal SSD,Samsung 970 EVO Plus Series 250GB PCIe NVMe-M.2 Internal SSD,125.99,CAD,2343693,https://www.sicarriere.com/produits/cat/stockage/disque-ssd/970-evo-plus-m2-250gb-int-ssd/mz-v7s250bam,Samsung 970 EVO Plus Series 250GB PCIe NVMe-M.2 Internal SSD. Description: Samsung 970 EVO Plus Series 250GB PCIe NVMe-M.2 Internal SSD,970 EVO Plus Series,,SSD,,,250.0,,,PCIe 3.0,NVMe,,,,,M.2,,,NVMe-M.2
