df1_idx,attribute,ground_truth,llm_prediction,rag_minilm_prediction,rag_minilm_reranker_prediction,rag_bge_reranker_prediction,rag_te_reranker_prediction,n_correct,n_configs
0,model_number,GV-N3080GAMING OC-10GD,UNKNOWN,correct,correct,correct (CE),correct (CE),4,5
2,model_number,CSSD-F960GBMP510,correct,correct,correct,correct,correct,5,5
2,read_speed_mb_s,3480.0,UNKNOWN,correct,correct,correct,correct,4,5
2,write_speed_mb_s,3000.0,correct (CE),correct,correct,correct,correct,5,5
3,read_speed_mb_s,226.0,UNKNOWN,wrong value,correct,correct,correct,3,5
4,width_mm,433.0,UNKNOWN,correct,correct,correct,correct,4,5
5,bus_type,PCIe 3.0 x16,UNKNOWN,correct,correct,correct,correct,4,5
5,model_number,90YV0CV2-M0NA00,wrong value,UNKNOWN,correct,correct,correct,3,5
6,bus_type,USB 3.0,correct,correct,correct,correct,correct (CE),5,5
8,model_number,GV-N166SOC-6GD,correct (CE),correct,correct,correct,correct,5,5
9,bus_type,PCIe 3.0 x16,correct,correct,correct,correct,correct,5,5
9,height_mm,46.0,UNKNOWN,wrong value,correct,correct,correct,3,5
9,model_number,V375-040R,UNKNOWN,correct (CE),wrong value,wrong value,UNKNOWN,1,5
9,width_mm,127.0,correct,correct,correct,correct,correct,5,5
11,bus_type,PCIe 3.0,correct,correct,correct,correct,correct,5,5
12,bus_type,PCIe 4.0,wrong value,correct (CE),correct,correct,correct,4,5
12,model_number,90YV0DQ0-M0NA00,wrong value,UNKNOWN,wrong value,wrong value,wrong value,0,5
13,model_number,AGAMMIXS11P-1TT-C,wrong value,correct,correct,correct,correct,4,5
14,model_number,GV-R56XTGAMING OC-6GD,correct (CE),correct (CE),correct,correct,correct,5,5
15,bus_type,PCIe 3.0 x16,correct,correct,correct (CE),correct (CE),correct (CE),5,5
15,model_number,100-506008,UNKNOWN,UNKNOWN,correct,correct,correct,3,5
16,model_number,NE6166SS18J9-161F,UNKNOWN,wrong value,UNKNOWN,correct (CE),correct (CE),2,5
17,model_number,843266-B21,wrong value,correct (CE),correct (CE),correct,correct,4,5
18,height_mm,7.0,UNKNOWN,wrong value,correct,correct,correct,3,5
18,read_speed_mb_s,550.0,correct,UNKNOWN,correct,correct,correct,4,5
18,write_speed_mb_s,520.0,correct,UNKNOWN,correct,correct,correct,4,5
19,bus_type,PCIe 3.0 x16,wrong value,correct,correct,correct,correct,4,5
19,model_number,ROG-STRIX-RTX2080TI-O11G-GAMING,wrong value,correct (CE),correct (CE),correct (CE),correct (CE),4,5
20,model,220S,wrong value,correct,correct,correct,wrong value,3,5
20,read_speed_mb_s,550.0,UNKNOWN,UNKNOWN,correct,UNKNOWN,correct,2,5
21,model_number,PBU240GS25SSDR,correct (CE),wrong value,correct,correct,correct,4,5
