df1_idx,config,attribute,is_numeric,ground_truth,predicted,unknown
0,RAG-MiniLM,model_number,False,GV-N3080GAMING OC-10GD,GV-N3080GAMING OC-10GD,False
2,RAG-MiniLM,model_number,False,CSSD-F960GBMP510,CSSD-F960GBMP510,False
2,RAG-MiniLM,read_speed_mb_s,True,3480.0,3480,False
2,RAG-MiniLM,write_speed_mb_s,True,3000.0,3000,False
3,RAG-MiniLM,read_speed_mb_s,True,226.0,550,False
4,RAG-MiniLM,width_mm,True,433.0,433,False
5,RAG-MiniLM,bus_type,False,PCIe 3.0 x16,PCIe 3.0,False
5,RAG-MiniLM,model_number,False,90YV0CV2-M0NA00,UNKNOWN,True
6,RAG-MiniLM,bus_type,False,USB 3.0,VALUE:USB,False
8,RAG-MiniLM,model_number,False,GV-N166SOC-6GD,GV-N166SOC-6GD,False
9,RAG-MiniLM,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x16,False
9,RAG-MiniLM,model_number,False,V375-040R,912-V375-040,False
9,RAG-MiniLM,height_mm,True,46.0,1660,False
9,RAG-MiniLM,width_mm,True,127.0,127,False
11,RAG-MiniLM,bus_type,False,PCIe 3.0,PCIe,False
12,RAG-MiniLM,bus_type,False,PCIe 4.0,PCIe 3.0 x16,False
12,RAG-MiniLM,model_number,False,90YV0DQ0-M0NA00,VALUE:UNKNOWN,False
13,RAG-MiniLM,model_number,False,AGAMMIXS11P-1TT-C,AGAMMIXS11P-1TT-C,False
14,RAG-MiniLM,model_number,False,GV-R56XTGAMING OC-6GD,GV-N560XTOC-6GD,False
15,RAG-MiniLM,bus_type,False,PCIe 3.0 x16,PCIe,False
15,RAG-MiniLM,model_number,False,100-506008,UNKNOWN,True
16,RAG-MiniLM,model_number,False,NE6166SS18J9-161F,GeForce GTX 1660 Ti STORMX,False
18,RAG-MiniLM,read_speed_mb_s,True,550.0,VALUE:UNKNOWN,False
18,RAG-MiniLM,write_speed_mb_s,True,520.0,VALUE:UNKNOWN,False
18,RAG-MiniLM,height_mm,True,7.0,70,False
19,RAG-MiniLM,bus_type,False,PCIe 3.0 x16,PCIe,False
19,RAG-MiniLM,model_number,False,ROG-STRIX-RTX2080TI-O11G-GAMING,ROG-STRIX-RTX-2080TI-O11G-GAMING,False
20,RAG-MiniLM,model,False,220S,220S,False
20,RAG-MiniLM,read_speed_mb_s,True,550.0,UNKNOWN,True
25,RAG-MiniLM,bus_type,False,PCIe 3.0,PCIe,False
26,RAG-MiniLM,bus_type,False,SATA III,SATA III,False
28,RAG-MiniLM,height_mm,True,42.0,UNKNOWN,False
28,RAG-MiniLM,width_mm,True,130.9,127,False
30,RAG-MiniLM,bus_type,False,USB 3.0,USB,False
30,RAG-MiniLM,model_number,False,WDBMCG5000ABT-WESN,MY PASSPORT GO,False
33,RAG-MiniLM,read_speed_mb_s,True,130.0,130,False
33,RAG-MiniLM,height_mm,True,20.8,20.8,False
33,RAG-MiniLM,width_mm,True,87.9,87.9,False
41,RAG-MiniLM,read_speed_mb_s,True,540.0,1,False
41,RAG-MiniLM,height_mm,True,10.5,1,False
41,RAG-MiniLM,width_mm,True,57.0,UNKNOWN,False
43,RAG-MiniLM,model_number,False,GP-ASM2NE6100TTTD,GV-AE1000G,False
43,RAG-MiniLM,height_mm,True,11.4,520,False
43,RAG-MiniLM,width_mm,True,80.5,22,False
52,RAG-MiniLM,bus_type,False,SATA III,M.2,False
