df1_idx,config,attribute,is_numeric,ground_truth,predicted,unknown,correct_standard,ce_judgment
0,RAG-MiniLM-Reranker,model_number,False,GV-N3080GAMING OC-10GD,GV-N3080GAMING OC-10GD,False,True,correct
2,RAG-MiniLM-Reranker,model_number,False,CSSD-F960GBMP510,CSSD-F960GBMP510,False,True,correct
2,RAG-MiniLM-Reranker,read_speed_mb_s,True,3480.0,3480.0,False,True,correct
2,RAG-MiniLM-Reranker,write_speed_mb_s,True,3000.0,3000.0,False,True,correct
3,RAG-MiniLM-Reranker,read_speed_mb_s,True,226.0,226,False,True,correct
4,RAG-MiniLM-Reranker,width_mm,True,433.0,433,False,True,correct
5,RAG-MiniLM-Reranker,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x16,False,True,correct
5,RAG-MiniLM-Reranker,model_number,False,90YV0CV2-M0NA00,90YV0CV2-M0NA00,False,True,correct
6,RAG-MiniLM-Reranker,bus_type,False,USB 3.0,USB 3.0,False,True,correct
8,RAG-MiniLM-Reranker,model_number,False,GV-N166SOC-6GD,GV-N166SOC-6GD,False,True,correct
9,RAG-MiniLM-Reranker,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x16,False,True,correct
9,RAG-MiniLM-Reranker,model_number,False,V375-040R,GV-N166SOC-10GD,False,False,wrong
9,RAG-MiniLM-Reranker,height_mm,True,46.0,46,False,True,correct
9,RAG-MiniLM-Reranker,width_mm,True,127.0,127,False,True,correct
11,RAG-MiniLM-Reranker,bus_type,False,PCIe 3.0,PCIe 3.0,False,True,correct
12,RAG-MiniLM-Reranker,bus_type,False,PCIe 4.0,PCIe,False,True,acceptable
12,RAG-MiniLM-Reranker,model_number,False,90YV0DQ0-M0NA00,ROG-STRIX-RTX2060S-E8G-GAMING,False,False,wrong
13,RAG-MiniLM-Reranker,model_number,False,AGAMMIXS11P-1TT-C,AGAMMIXS11P-1TT-C,False,True,correct
14,RAG-MiniLM-Reranker,model_number,False,GV-R56XTGAMING OC-6GD,GV-R56XTGAMING OC-6GD,False,True,correct
15,RAG-MiniLM-Reranker,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x8,False,False,correct
15,RAG-MiniLM-Reranker,model_number,False,100-506008,100-506008,False,True,correct
16,RAG-MiniLM-Reranker,model_number,False,NE6166SS18J9-161F,UNKNOWN,True,False,wrong
18,RAG-MiniLM-Reranker,read_speed_mb_s,True,550.0,550.0,False,True,correct
18,RAG-MiniLM-Reranker,write_speed_mb_s,True,520.0,520.0,False,True,correct
18,RAG-MiniLM-Reranker,height_mm,True,7.0,6.8,False,True,correct
19,RAG-MiniLM-Reranker,bus_type,False,PCIe 3.0 x16,PCIe,False,True,wrong
