df1_idx,config,attribute,is_numeric,ground_truth,predicted,unknown,correct_standard,llm_judgment
0,LLM-only,model_number,False,GV-N3080GAMING OC-10GD,UNKNOWN,True,False,wrong
2,LLM-only,model_number,False,CSSD-F960GBMP510,CSSD-F960GBMP510,False,True,correct
2,LLM-only,read_speed_mb_s,True,3480.0,UNKNOWN,True,False,wrong
2,LLM-only,write_speed_mb_s,True,3000.0,UNKNOWN,True,False,wrong
3,LLM-only,read_speed_mb_s,True,226.0,UNKNOWN,True,False,wrong
4,LLM-only,width_mm,True,433.0,UNKNOWN,True,False,wrong
5,LLM-only,bus_type,False,PCIe 3.0 x16,PCIe,False,True,acceptable
5,LLM-only,model_number,False,90YV0CV2-M0NA00,90YV0CV2-M0NA00,False,True,correct
6,LLM-only,bus_type,False,USB 3.0,UNKNOWN,True,False,wrong
8,LLM-only,model_number,False,GV-N166SOC-6GD,GV-N166SOP6GD,False,False,correct
9,LLM-only,bus_type,False,PCIe 3.0 x16,PCIe,False,True,acceptable
9,LLM-only,model_number,False,V375-040R,90YV0CV2-M0NA00,False,False,wrong
9,LLM-only,height_mm,True,46.0,UNKNOWN,True,False,wrong
9,LLM-only,width_mm,True,127.0,UNKNOWN,True,False,wrong
11,LLM-only,bus_type,False,PCIe 3.0,PCIe x16,False,False,acceptable
12,LLM-only,bus_type,False,PCIe 4.0,PCIe,False,True,correct
12,LLM-only,model_number,False,90YV0DQ0-M0NA00,90YV0CV2-M0NA00,False,False,correct
18,LLM-only,read_speed_mb_s,True,550.0,UNKNOWN,True,False,wrong
18,LLM-only,write_speed_mb_s,True,520.0,UNKNOWN,True,False,wrong
18,LLM-only,height_mm,True,7.0,UNKNOWN,True,False,wrong
20,LLM-only,model,False,220S,UNKNOWN,True,False,wrong
20,LLM-only,read_speed_mb_s,True,550.0,UNKNOWN,True,False,wrong
28,LLM-only,height_mm,True,42.0,UNKNOWN,True,False,wrong
28,LLM-only,width_mm,True,130.9,UNKNOWN,True,False,wrong
33,LLM-only,read_speed_mb_s,True,130.0,UNKNOWN,True,False,wrong
33,LLM-only,height_mm,True,20.8,7,False,False,wrong
33,LLM-only,width_mm,True,87.9,127,False,False,wrong
41,LLM-only,read_speed_mb_s,True,540.0,UNKNOWN,True,False,wrong
41,LLM-only,height_mm,True,10.5,UNKNOWN,True,False,wrong
41,LLM-only,width_mm,True,57.0,UNKNOWN,True,False,wrong
52,LLM-only,bus_type,False,SATA III,M.2,False,False,acceptable
52,LLM-only,model,False,SU800,ASU800NS38,False,True,acceptable
52,LLM-only,read_speed_mb_s,True,560.0,5600,False,False,wrong
52,LLM-only,write_speed_mb_s,True,520.0,UNKNOWN,True,False,wrong
52,LLM-only,height_mm,True,3.5,UNKNOWN,True,False,wrong
52,LLM-only,width_mm,True,22.0,UNKNOWN,True,False,wrong
56,LLM-only,read_speed_mb_s,True,560.0,UNKNOWN,True,False,wrong
56,LLM-only,write_speed_mb_s,True,510.0,UNKNOWN,True,False,wrong
60,LLM-only,model,False,Ironwolf 110,SG SSD,False,False,correct
60,LLM-only,read_speed_mb_s,True,560.0,UNKNOWN,True,False,wrong
77,LLM-only,read_speed_mb_s,True,555.0,UNKNOWN,True,False,wrong
77,LLM-only,write_speed_mb_s,True,520.0,UNKNOWN,True,False,wrong
77,LLM-only,height_mm,True,7.0,7,False,True,correct
95,LLM-only,model_number,False,801882-B21,(3.5in),False,False,correct
95,LLM-only,model,False,ISS,HPE,False,False,acceptable
137,LLM-only,model,False,L200,Toshiba,False,False,correct
13,LLM-only,model_number,False,AGAMMIXS11P-1TT-C,R:3500/W:3000,False,False,acceptable
14,LLM-only,model_number,False,GV-R56XTGAMING OC-6GD,GV-N56XTAOR-6GD,False,False,correct
15,LLM-only,bus_type,False,PCIe 3.0 x16,PCIe,False,True,acceptable
15,LLM-only,model_number,False,100-506008,UNKNOWN,True,False,wrong
16,LLM-only,model_number,False,NE6166SS18J9-161F,90YV0CV2-M0NA00,False,False,wrong
0,RAG-clean,model_number,False,GV-N3080GAMING OC-10GD,GV-N3080GAMING OC-10GD,False,True,correct
2,RAG-clean,model_number,False,CSSD-F960GBMP510,CSSD-F960GBMP510B,False,True,acceptable
2,RAG-clean,read_speed_mb_s,True,3480.0,3480,False,True,correct
2,RAG-clean,write_speed_mb_s,True,3000.0,3000,False,True,correct
3,RAG-clean,read_speed_mb_s,True,226.0,226,False,True,correct
4,RAG-clean,width_mm,True,433.0,UNKNOWN,True,False,wrong
5,RAG-clean,bus_type,False,PCIe 3.0 x16,PCIe 3.0,False,True,acceptable
5,RAG-clean,model_number,False,90YV0CV2-M0NA00,GTX1650SOPH-4G,False,False,correct
6,RAG-clean,bus_type,False,USB 3.0,USB 3.0,False,True,correct
8,RAG-clean,model_number,False,GV-N166SOC-6GD,GeForce GTX 1660 OC,False,False,correct
9,RAG-clean,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x16,False,True,correct
9,RAG-clean,model_number,False,V375-040R,912-V375-040,False,False,acceptable
9,RAG-clean,height_mm,True,46.0,247,False,False,wrong
9,RAG-clean,width_mm,True,127.0,127,False,True,correct
11,RAG-clean,bus_type,False,PCIe 3.0,PCIe 3.0,False,True,correct
12,RAG-clean,bus_type,False,PCIe 4.0,PCIe,False,True,correct
12,RAG-clean,model_number,False,90YV0DQ0-M0NA00,GeForce RTX 2060 Super ROG Strix Evo Gaming,False,False,correct
18,RAG-clean,read_speed_mb_s,True,550.0,550,False,True,correct
18,RAG-clean,write_speed_mb_s,True,520.0,520,False,True,correct
18,RAG-clean,height_mm,True,7.0,7,False,True,correct
20,RAG-clean,model,False,220S,220S,False,True,correct
20,RAG-clean,read_speed_mb_s,True,550.0,UNKNOWN,True,False,wrong
28,RAG-clean,height_mm,True,42.0,42,False,True,correct
28,RAG-clean,width_mm,True,130.9,130.9,False,True,correct
33,RAG-clean,read_speed_mb_s,True,130.0,130,False,True,correct
33,RAG-clean,height_mm,True,20.8,20.8,False,True,correct
33,RAG-clean,width_mm,True,87.9,87.9,False,True,correct
41,RAG-clean,read_speed_mb_s,True,540.0,300,False,False,wrong
41,RAG-clean,height_mm,True,10.5,UNKNOWN,True,False,wrong
41,RAG-clean,width_mm,True,57.0,UNKNOWN,True,False,wrong
52,RAG-clean,bus_type,False,SATA III,UNKNOWN,True,False,wrong
52,RAG-clean,model,False,SU800,SU800,False,True,correct
52,RAG-clean,read_speed_mb_s,True,560.0,560,False,True,correct
52,RAG-clean,write_speed_mb_s,True,520.0,520,False,True,correct
52,RAG-clean,height_mm,True,3.5,3.5,False,True,correct
52,RAG-clean,width_mm,True,22.0,22,False,True,correct
56,RAG-clean,read_speed_mb_s,True,560.0,560,False,True,correct
56,RAG-clean,write_speed_mb_s,True,510.0,510,False,True,correct
60,RAG-clean,model,False,Ironwolf 110,UNKNOWN,True,False,wrong
60,RAG-clean,read_speed_mb_s,True,560.0,UNKNOWN,True,False,wrong
77,RAG-clean,read_speed_mb_s,True,555.0,VALUE:UNKNOWN,False,False,acceptable
77,RAG-clean,write_speed_mb_s,True,520.0,UNKNOWN,True,False,wrong
