config,attribute,ground_truth,predicted,correct,unknown
LLM-only,model_number,GV-N3080GAMING OC-10GD,NVIDIA-GA102-10GB-AMPERE,False,False
LLM-only,model_number,CSSD-F960GBMP510,CMSOFM960GBB,False,False
LLM-only,model_number,90YV0CV2-M0NA00,D6-4G-G5F,False,False
LLM-only,model_number,GV-N166SOC-6GD,GV-N166SOC-6GD,True,False
LLM-only,model_number,V375-040R,NV19M9Y62A0F,False,False
LLM-only,model_number,90YV0DQ0-M0NA00,ROG-STRIX-RTX2060S-E9F6G,False,False
LLM-only,model_number,AGAMMIXS11P-1TT-C,XPG GAMMIX S11 Pro 1TB,False,False
LLM-only,model_number,GV-R56XTGAMING OC-6GD,RX-5600XT-GAMING-OC-6G,False,False
LLM-only,model_number,100-506008,RX-642YV3FAA2F,False,False
LLM-only,model_number,NE6166SS18J9-161F,GVN66S6GBB,False,False
LLM-only,model_number,843266-B21,HPE010EX,False,False
LLM-only,model_number,ROG-STRIX-RTX2080TI-O11G-GAMING,TU106-410-A1,False,False
LLM-only,model_number,PBU240GS25SSDR,B240G2P,False,False
LLM-only,model_number,SDCZ50-128G-B35,SDBPN128G-C45A,False,False
LLM-only,model_number,WDBWLG0040HBK-EESN,WDBC20T004,False,False
LLM-only,model_number,WDBMCG5000ABT-WESN,PIMYPG500GCOLBOLT,False,False
LLM-only,model_number,DT100G3/256GB,DT100G3,True,False
LLM-only,model_number,ST4000NE001,ST14000VN00,False,False
LLM-only,model_number,PH-GTX1650-O4G,RTX-1650-P4G,False,False
LLM-only,model_number,GP-ASM2NE6100TTTD,AORUS1TB,False,False
LLM-only,model_number,912-V372-257,NVIDIA-TRX2070SU-GTX1650,False,False
LLM-only,model_number,DT100G3/128GB,DTCG100G3,False,False
LLM-only,model_number,PH-RTX2060-6G,TU106-400-A1,False,False
LLM-only,model_number,N20702-08D6-1710VA23,NV2070T22C6X,False,False
LLM-only,model_number,MZ-76P2T0B,870-PRO-B25M,False,False
LLM-only,model_number,CT2000P5SSD8,P5CT2000P5,False,False
LLM-only,model_number,ZT-A30900D-10P,TRX3090-24M,False,False
LLM-only,model_number,CSSD-F500GBMP600,MP600-1TB,False,False
LLM-only,model_number,CT1000P1SSD8,P1100GB,False,False
LLM-only,model_number,MU-PC2T0H,T5P850,False,False
LLM-only,model_number,ST300MP0106,8TG2,False,False
LLM-only,model_number,GT 710 1GD3H LP,NVIDIA GeForce GT 710 (1GB DDR3),False,False
LLM-only,model_number,02G-P3-2717-KR,02G-P4-2676,False,False
LLM-only,model_number,CT2000P1SSD8,P1-2000GB,False,False
LLM-only,model_number,MZ-76E500BW,Samsung 860 EVO 500GB,False,False
LLM-only,model_number,MU-PC1T0S/WW,MU-PG1T0T/AM,False,False
LLM-only,model_number,STHH1000400,STEL5004000,False,False
LLM-only,model_number,SDCZ48-032G-U46,CUD32GBU3.0,False,False
LLM-only,model_number,MZ-76E2T0BW,MZ-76E1T0B,False,False
LLM-only,model_number,801882-B21,HUS152JAK6KA,False,False
LLM-only,model_number,WDS250G3X0C,WDBWL0320NBCS-01,False,False
LLM-only,model_number,AGAMMIXS50-1TT-C,XPG-S50-1TB,False,False
LLM-only,model_number,GV-N165SOC-4GD,GV-N165SOC-4G,True,False
LLM-only,model_number,CT1000P5SSD8,P5CT1TBTT001,False,False
LLM-only,model_number,GV-N105TOC-4GD,GV-N105T5OC-4GD,False,False
LLM-only,model_number,LAC301558,9000939,False,False
LLM-only,model_number,AGAMMIXS5-1TT-C,XPG GAMMIX S5-1TB,False,False
LLM-only,model_number,WD40PURX,PURPLE SURVEILLANCE 4TB WU4300,False,False
LLM-only,model_number,GP-ASM2NE6500GTTD,AORUS500GB,False,False
LLM-only,model_number,WDS200T2B0A,WDBF4T0020JCHW,False,False
LLM-only,model_number,GP-GSTFS31480GNTD,GT6001T75AS3N,False,False
LLM-only,model_number,GV-N208SAORUS-8GC,GV-N208SWF6GC-P,False,False
LLM-only,model_number,XA1920ME10063,1551000,False,False
LLM-only,model_number,NEAT7100HD46H,GVN7,False,False
LLM-only,model_number,MTFDHBE3T8TDF-1AW1ZABYY,CT8300P3PLD8A,False,False
LLM-only,model_number,DC450R/3840G,DCS1000,False,False
LLM-only,model_number,WDS120G2G0A,WDC WD1200FYYZ,False,False
LLM-only,model_number,CZ73,SDDFLAIR64GB,False,False
LLM-only,model_number,HDWD105UZSVA,P3001A-500REK,False,False
