config,df1_idx,attribute,ground_truth,predicted,correct,unknown
LLM-only,0,model_number,GV-N3080GAMING OC-10GD,Aorus XC,False,False
LLM-only,2,model_number,CSSD-F960GBMP510,MP510,True,False
LLM-only,5,model_number,90YV0CV2-M0NA00,DUAL-O-C-4G,False,False
LLM-only,5,bus_type,PCIe 3.0 x16,X16,True,False
LLM-only,6,bus_type,USB 3.0,USB,True,False
LLM-only,8,model_number,GV-N166SOC-6GD,GV-N166SUPER-6GD,False,False
LLM-only,9,model_number,V375-040R,GeForce GTX 1660 Ti GAMING X 6G,False,False
LLM-only,9,bus_type,PCIe 3.0 x16,PCIe,True,False
LLM-only,11,bus_type,PCIe 3.0,PCIe,True,False
LLM-only,12,model_number,90YV0DQ0-M0NA00,Twin Frozr II,False,False
LLM-only,12,bus_type,PCIe 4.0,PCIe,True,False
LLM-only,13,model_number,AGAMMIXS11P-1TT-C,XPGGAMMIXS11Pro,False,False
LLM-only,14,model_number,GV-R56XTGAMING OC-6GD,GV-N56TGC6-6GHR,False,False
LLM-only,15,model_number,100-506008,WX-4100,False,False
LLM-only,15,bus_type,PCIe 3.0 x16,PCIe,True,False
LLM-only,16,model_number,NE6166SS18J9-161F,UNKNOWN,False,True
LLM-only,17,model_number,843266-B21,Entry-HDD-1TB,False,False
LLM-only,19,model_number,ROG-STRIX-RTX2080TI-O11G-GAMING,RTX 2080 Ti Strix Edition Boost,False,False
LLM-only,19,bus_type,PCIe 3.0 x16,PCIe,True,False
LLM-only,21,model_number,PBU240GS25SSDR,PBT240B250S,False,False
LLM-only,23,model_number,SDCZ50-128G-B35,CBU500-128G-G46,False,False
LLM-only,25,bus_type,PCIe 3.0,Xpand,False,False
LLM-only,26,bus_type,SATA III,M.2,False,False
LLM-only,27,model_number,WDBWLG0040HBK-EESN,WDBYNN0040HBK-EESN,False,False
LLM-only,30,model_number,WDBMCG5000ABT-WESN,WDBP6C0020BCN,False,False
LLM-only,30,bus_type,USB 3.0,M.2,False,False
LLM-only,31,model_number,DT100G3/256GB,AID256GB/DT100G3,False,False
LLM-only,32,model_number,ST4000NE001,ST4000NE001,True,False
LLM-only,33,interface_type,Micro B,USB 3.2 Gen 1,False,False
LLM-only,39,model_number,PH-GTX1650-O4G,RTX21650OCPH4G,False,False
LLM-only,39,bus_type,PCIe 3.0,PCIe,True,False
LLM-only,42,bus_type,SATA III,M.2,False,False
LLM-only,42,interface_type,SATA,"M.2, PCIe",False,False
