config,attribute,is_numeric,ground_truth,predicted,correct,llm_judgment,unknown
RAG-clean-k3,read_speed_mb_s,True,226.0,226.0,True,correct,False
RAG-clean-k3,model_number,False,GV-N166SOC-6GD,GV-N166SOC-6GD,True,correct,False
RAG-clean-k3,model_number,False,AGAMMIXS11P-1TT-C,XPG GAMMIX S11 Pro,False,acceptable,False
RAG-clean-k3,bus_type,False,PCIe x16,PCIe,True,correct,False
RAG-clean-k3,model_number,False,NEAT7100HD46H,NEAT7100HD46H,True,correct,False
RAG-clean-k3,model_number,False,MZ-V7E250BW,970 EVO,False,correct,False
RAG-clean-k3,model,False,Ace - A80,P34A80,False,correct,False
RAG-clean-k3,model_number,False,SKC600/512G,KC600,True,acceptable,False
RAG-clean-k3,write_speed_mb_s,True,520.0,520.0,True,correct,False
RAG-clean-k3,bus_type,False,PCIe 3.0,PCIe 3.0,True,correct,False
RAG-clean-k3,model_number,False,WD20EURX,model_number,False,correct,False
RAG-clean-k3,read_speed_mb_s,True,40.0,320,False,wrong,False
RAG-clean-k3,write_speed_mb_s,True,10.0,500,False,wrong,False
RAG-clean-k3,height_mm,True,25.4,25,True,acceptable,False
RAG-clean-k3,width_mm,True,101.6,3500,False,wrong,False
RAG-clean-k3,model_number,False,ST8000VN004,ST8000VN000,False,acceptable,False
RAG-clean-k3,model,False,1TB 6G SAS 7.2K 2.5 inch SFF Dual Port Midline Hard Disk,"model_number=785071-B21, but for the exact product it's more specific and matches the title and bus type, so VALUE:model_652749-B21.",False,acceptable,False
RAG-clean-k3,bus_type,False,PCIe 3.0,PCIe 3.0,True,correct,False
RAG-clean-k3,model_number,False,ST10000VN0004,ST10ZF10000,False,correct,False
RAG-clean-k3,model_number,False,GV-R55XTGAMING OC-8GD,GA-101-2A7C,False,correct,False
RAG-clean-k3,read_speed_mb_s,True,550.0,550,True,correct,False
RAG-clean-k3,write_speed_mb_s,True,520.0,520,True,correct,False
RAG-clean-k3,model_number,False,WDS500G1B0A,WDS500G2B0A,False,acceptable,False
RAG-clean-k3,read_speed_mb_s,True,545.0,545,True,correct,False
RAG-clean-k3,write_speed_mb_s,True,525.0,525.0,True,correct,False
RAG-clean-k3,height_mm,True,7.0,7,True,correct,False
RAG-clean-k3,read_speed_mb_s,True,3430.0,3430.0,True,correct,False
RAG-clean-k3,write_speed_mb_s,True,2900.0,2900.0,True,correct,False
RAG-clean-k3,height_mm,True,8.0,8.0,True,correct,False
RAG-clean-k3,width_mm,True,25.0,25.0,True,correct,False
RAG-clean-k3,bus_type,False,PCIe 3.0 x16,PCIe,True,correct,False
RAG-clean-k3,model_number,False,GV-N105TOC-4GL,GV-N105TOC-4GL,True,correct,False
RAG-clean-k3,read_speed_mb_s,True,550.0,550,True,correct,False
RAG-clean-k3,model_number,False,AUV128-32G-RBE,UI32G064US03,False,acceptable,False
RAG-clean-k3,read_speed_mb_s,True,90.0,3500,False,wrong,False
RAG-clean-k3,write_speed_mb_s,True,40.0,3000,False,wrong,False
RAG-clean-k3,height_mm,True,90.0,100,False,acceptable,False
RAG-clean-k3,width_mm,True,20.0,50,False,wrong,False
RAG-clean-k3,model_number,False,GV-N207SWF3OC-8GD,GV-N207SWF3OC-8G,True,acceptable,False
RAG-clean-k3,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x16,True,acceptable,False
RAG-clean-k3,height_mm,True,40.0,250,False,wrong,False
RAG-clean-k3,width_mm,True,124.0,250,False,wrong,False
