config,df1_idx,attribute,is_numeric,ground_truth,predicted,correct,unknown
PyDI-LLMExtractor,3.0,read_speed_mb_s,True,226.0,UNKNOWN,False,True
PyDI-LLMExtractor,8.0,model_number,False,GV-N166SOC-6GD,UNKNOWN,False,True
PyDI-LLMExtractor,13.0,model_number,False,AGAMMIXS11P-1TT-C,UNKNOWN,False,True
PyDI-LLMExtractor,84.0,bus_type,False,PCIe x16,UNKNOWN,False,True
PyDI-LLMExtractor,127.0,model_number,False,NEAT7100HD46H,UNKNOWN,False,True
PyDI-LLMExtractor,157.0,model_number,False,MZ-V7E250BW,UNKNOWN,False,True
PyDI-LLMExtractor,178.0,model,False,Ace - A80,UNKNOWN,False,True
PyDI-LLMExtractor,198.0,model_number,False,SKC600/512G,UNKNOWN,False,True
PyDI-LLMExtractor,198.0,write_speed_mb_s,True,520.0,UNKNOWN,False,True
PyDI-LLMExtractor,202.0,bus_type,False,PCIe 3.0,UNKNOWN,False,True
PyDI-LLMExtractor,214.0,model_number,False,WD20EURX,UNKNOWN,False,True
PyDI-LLMExtractor,229.0,read_speed_mb_s,True,40.0,UNKNOWN,False,True
PyDI-LLMExtractor,229.0,write_speed_mb_s,True,10.0,UNKNOWN,False,True
PyDI-LLMExtractor,343.0,height_mm,True,25.4,UNKNOWN,False,True
PyDI-LLMExtractor,343.0,width_mm,True,101.6,UNKNOWN,False,True
PyDI-LLMExtractor,353.0,model_number,False,ST8000VN004,UNKNOWN,False,True
PyDI-LLMExtractor,376.0,model,False,1TB 6G SAS 7.2K 2.5 inch SFF Dual Port Midline Hard Disk,UNKNOWN,False,True
PyDI-LLMExtractor,418.0,bus_type,False,PCIe 3.0,UNKNOWN,False,True
PyDI-LLMExtractor,512.0,model_number,False,ST10000VN0004,UNKNOWN,False,True
PyDI-LLMExtractor,535.0,model_number,False,GV-R55XTGAMING OC-8GD,UNKNOWN,False,True
PyDI-LLMExtractor,546.0,read_speed_mb_s,True,550.0,UNKNOWN,False,True
PyDI-LLMExtractor,546.0,write_speed_mb_s,True,520.0,UNKNOWN,False,True
PyDI-LLMExtractor,578.0,model_number,False,WDS500G1B0A,UNKNOWN,False,True
PyDI-LLMExtractor,578.0,read_speed_mb_s,True,545.0,UNKNOWN,False,True
PyDI-LLMExtractor,578.0,write_speed_mb_s,True,525.0,UNKNOWN,False,True
PyDI-LLMExtractor,578.0,height_mm,True,7.0,UNKNOWN,False,True
PyDI-LLMExtractor,606.0,read_speed_mb_s,True,3430.0,UNKNOWN,False,True
PyDI-LLMExtractor,606.0,write_speed_mb_s,True,2900.0,UNKNOWN,False,True
PyDI-LLMExtractor,606.0,height_mm,True,8.0,UNKNOWN,False,True
