config,attribute,is_numeric,ground_truth,predicted,correct,unknown
LLM-only,read_speed_mb_s,True,226.0,5200,False,False
LLM-only,model_number,False,GV-N166SOC-6GD,GV-N166SOFSOC-6GD,False,False
LLM-only,model_number,False,AGAMMIXS11P-1TT-C,XPG GAMMIX S11 Pro,False,False
LLM-only,bus_type,False,PCIe x16,PCIe,True,False
LLM-only,model_number,False,NEAT7100HD46H,GT-710P2DF4GV6-1033A,False,False
LLM-only,model_number,False,MZ-V7E250BW,970 EVO Plus,False,False
LLM-only,model,False,Ace - A80,SP256GBP34A80M28,False,False
LLM-only,model_number,False,SKC600/512G,KC600S512G,False,False
LLM-only,write_speed_mb_s,True,520.0,530,True,False
LLM-only,bus_type,False,PCIe 3.0,PCIe,True,False
LLM-only,model_number,False,WD20EURX,WDBYR0020AWD,False,False
LLM-only,read_speed_mb_s,True,40.0,500,False,False
LLM-only,write_speed_mb_s,True,10.0,600,False,False
LLM-only,height_mm,True,25.4,44,False,False
LLM-only,width_mm,True,101.6,147,False,False
LLM-only,model_number,False,ST8000VN004,ST8000AS0002,False,False
LLM-only,model,False,1TB 6G SAS 7.2K 2.5 inch SFF Dual Port Midline Hard Disk,1TB-07F-SAS,False,False
LLM-only,bus_type,False,PCIe 3.0,PCIe,True,False
LLM-only,model_number,False,ST10000VN0004,ST10000VN0006,False,False
LLM-only,model_number,False,GV-R55XTGAMING OC-8GD,GV-R55XTOC-8GD,False,False
LLM-only,read_speed_mb_s,True,550.0,500,True,False
LLM-only,write_speed_mb_s,True,520.0,550,True,False
LLM-only,model_number,False,WDS500G1B0A,WDS500G2B0A,False,False
LLM-only,read_speed_mb_s,True,545.0,530,True,False
LLM-only,write_speed_mb_s,True,525.0,530,True,False
LLM-only,height_mm,True,7.0,6,False,False
LLM-only,read_speed_mb_s,True,3430.0,5000,False,False
LLM-only,write_speed_mb_s,True,2900.0,3500,False,False
LLM-only,height_mm,True,8.0,7.1,False,False
LLM-only,width_mm,True,25.0,70,False,False
LLM-only,bus_type,False,PCIe 3.0 x16,PCIe,True,False
LLM-only,model_number,False,GV-N105TOC-4GL,NVIDIA-9061-16GB-GDDR5,False,False
LLM-only,read_speed_mb_s,True,550.0,525,True,False
LLM-only,model_number,False,AUV128-32G-RBE,"A-DATA DashDrive UV128 64GB Black+Blue USB 3.0 Flash Drive, Retail",False,False
LLM-only,read_speed_mb_s,True,90.0,60,False,False
LLM-only,write_speed_mb_s,True,40.0,40,True,False
LLM-only,height_mm,True,90.0,63,False,False
LLM-only,width_mm,True,20.0,50,False,False
LLM-only,model_number,False,GV-N207SWF3OC-8GD,GV-N207SWF2OC-8H,False,False
LLM-only,bus_type,False,PCIe 3.0 x16,PCIe,True,False
LLM-only,height_mm,True,40.0,165,False,False
LLM-only,width_mm,True,124.0,235,False,False
