df1_idx,config,attribute,is_numeric,ground_truth,predicted,unknown,correct_standard,llm_judgment
0,LLM-only,model_number,False,GV-N3080GAMING OC-10GD,UNKNOWN,True,False,wrong
2,LLM-only,model_number,False,CSSD-F960GBMP510,CSSD-F960GBMP510,False,True,correct
2,LLM-only,read_speed_mb_s,True,3480.0,UNKNOWN,True,False,wrong
2,LLM-only,write_speed_mb_s,True,3000.0,UNKNOWN,True,False,wrong
3,LLM-only,read_speed_mb_s,True,226.0,UNKNOWN,True,False,wrong
4,LLM-only,width_mm,True,433.0,UNKNOWN,True,False,wrong
5,LLM-only,bus_type,False,PCIe 3.0 x16,PCIe,False,True,acceptable
5,LLM-only,model_number,False,90YV0CV2-M0NA00,90YV0CV2-M0NA00,False,True,correct
6,LLM-only,bus_type,False,USB 3.0,UNKNOWN,True,False,wrong
8,LLM-only,model_number,False,GV-N166SOC-6GD,GV-N166SOP6GD,False,False,acceptable
9,LLM-only,bus_type,False,PCIe 3.0 x16,PCIe,False,True,acceptable
9,LLM-only,model_number,False,V375-040R,90YV0CV2-M0NA00,False,False,wrong
9,LLM-only,height_mm,True,46.0,UNKNOWN,True,False,wrong
9,LLM-only,width_mm,True,127.0,UNKNOWN,True,False,wrong
11,LLM-only,bus_type,False,PCIe 3.0,PCIe x16,False,False,acceptable
12,LLM-only,bus_type,False,PCIe 4.0,PCIe,False,True,acceptable
12,LLM-only,model_number,False,90YV0DQ0-M0NA00,90YV0CV2-M0NA00,False,False,acceptable
13,LLM-only,model_number,False,AGAMMIXS11P-1TT-C,(R:3500/W:3000 MB/s),False,False,acceptable
14,LLM-only,model_number,False,GV-R56XTGAMING OC-6GD,GV-N56XTAOR3UDG,False,False,acceptable
15,LLM-only,bus_type,False,PCIe 3.0 x16,PCIe,False,True,acceptable
15,LLM-only,model_number,False,100-506008,UNKNOWN,True,False,wrong
16,LLM-only,model_number,False,NE6166SS18J9-161F,90YV0CV2-M0NA00,False,False,wrong
17,LLM-only,model_number,False,843266-B21,HPE 1TB 6G SATA 7.2K 3.5IN NHP ETY HDD,False,False,acceptable
18,LLM-only,read_speed_mb_s,True,550.0,UNKNOWN,True,False,wrong
18,LLM-only,write_speed_mb_s,True,520.0,UNKNOWN,True,False,wrong
18,LLM-only,height_mm,True,7.0,UNKNOWN,True,False,wrong
19,LLM-only,bus_type,False,PCIe 3.0 x16,UNKNOWN,True,False,wrong
19,LLM-only,model_number,False,ROG-STRIX-RTX2080TI-O11G-GAMING,90YV0CV2-M0NA00,False,False,wrong
20,LLM-only,model,False,220S,UNKNOWN,True,False,wrong
20,LLM-only,read_speed_mb_s,True,550.0,UNKNOWN,True,False,wrong
21,LLM-only,model_number,False,PBU240GS25SSDR,PBT240G35K,False,False,wrong
23,LLM-only,model_number,False,SDCZ50-128G-B35,UNKNOWN,True,False,wrong
25,LLM-only,bus_type,False,PCIe 3.0,PCIe,False,True,acceptable
26,LLM-only,bus_type,False,SATA III,M.2,False,False,acceptable
27,LLM-only,model_number,False,WDBWLG0040HBK-EESN,UNKNOWN,True,False,wrong
28,LLM-only,height_mm,True,42.0,UNKNOWN,True,False,wrong
28,LLM-only,width_mm,True,130.9,UNKNOWN,True,False,wrong
30,LLM-only,bus_type,False,USB 3.0,USB,False,True,acceptable
30,LLM-only,model_number,False,WDBMCG5000ABT-WESN,UNKNOWN,True,False,wrong
