df1_idx,config,attribute,is_numeric,ground_truth,predicted,unknown,correct_standard,ce_judgment
0,RAG-MiniLM,model_number,False,GV-N3080GAMING OC-10GD,GV-N3080GAMING OC-10GD,False,True,correct
2,RAG-MiniLM,model_number,False,CSSD-F960GBMP510,CSSD-F960GBMP510,False,True,correct
2,RAG-MiniLM,read_speed_mb_s,True,3480.0,3480,False,True,correct
2,RAG-MiniLM,write_speed_mb_s,True,3000.0,3000,False,True,correct
3,RAG-MiniLM,read_speed_mb_s,True,226.0,550,False,False,wrong
4,RAG-MiniLM,width_mm,True,433.0,433,False,True,correct
5,RAG-MiniLM,bus_type,False,PCIe 3.0 x16,PCIe 3.0,False,True,correct
5,RAG-MiniLM,model_number,False,90YV0CV2-M0NA00,UNKNOWN,True,False,wrong
6,RAG-MiniLM,bus_type,False,USB 3.0,USB,False,True,wrong
8,RAG-MiniLM,model_number,False,GV-N166SOC-6GD,GV-N166SOC-6GD,False,True,correct
9,RAG-MiniLM,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x16,False,True,correct
9,RAG-MiniLM,model_number,False,V375-040R,912-V375-040,False,False,correct
9,RAG-MiniLM,height_mm,True,46.0,1660,False,False,wrong
9,RAG-MiniLM,width_mm,True,127.0,127,False,True,correct
11,RAG-MiniLM,bus_type,False,PCIe 3.0,PCIe,False,True,acceptable
12,RAG-MiniLM,bus_type,False,PCIe 4.0,PCIe 3.0 x16,False,False,correct
12,RAG-MiniLM,model_number,False,90YV0DQ0-M0NA00,UNKNOWN,True,False,wrong
13,RAG-MiniLM,model_number,False,AGAMMIXS11P-1TT-C,AGAMMIXS11P-1TT-C,False,True,correct
14,RAG-MiniLM,model_number,False,GV-R56XTGAMING OC-6GD,GV-N560XTOC-6GD,False,False,correct
15,RAG-MiniLM,bus_type,False,PCIe 3.0 x16,PCIe,False,True,wrong
15,RAG-MiniLM,model_number,False,100-506008,UNKNOWN,True,False,wrong
16,RAG-MiniLM,model_number,False,NE6166SS18J9-161F,GeForce GTX 1660 Ti STORMX,False,False,wrong
18,RAG-MiniLM,read_speed_mb_s,True,550.0,UNKNOWN,True,False,wrong
18,RAG-MiniLM,write_speed_mb_s,True,520.0,UNKNOWN,True,False,wrong
18,RAG-MiniLM,height_mm,True,7.0,70,False,False,wrong
19,RAG-MiniLM,bus_type,False,PCIe 3.0 x16,PCIe,False,True,wrong
19,RAG-MiniLM,model_number,False,ROG-STRIX-RTX2080TI-O11G-GAMING,ROG-STRIX-RTX-2080TI-O11G-GAMING,False,False,correct
20,RAG-MiniLM,model,False,220S,220S,False,True,correct
20,RAG-MiniLM,read_speed_mb_s,True,550.0,UNKNOWN,True,False,wrong
25,RAG-MiniLM,bus_type,False,PCIe 3.0,PCIe,False,True,acceptable
26,RAG-MiniLM,bus_type,False,SATA III,SATA III,False,True,correct
28,RAG-MiniLM,height_mm,True,42.0,UNKNOWN,True,False,wrong
28,RAG-MiniLM,width_mm,True,130.9,127,False,True,correct
30,RAG-MiniLM,bus_type,False,USB 3.0,USB,False,True,wrong
