df1_idx,config,attribute,is_numeric,ground_truth,predicted,unknown,correct_standard,ce_judgment
0,RAG-OpenAI-Reranker,model_number,False,GV-N3080GAMING OC-10GD,GV-N3080EAGLE-OC-10GD,False,False,correct
2,RAG-OpenAI-Reranker,model_number,False,CSSD-F960GBMP510,CSSD-F960GBMP510,False,True,correct
2,RAG-OpenAI-Reranker,read_speed_mb_s,True,3480.0,3480.0,False,True,correct
2,RAG-OpenAI-Reranker,write_speed_mb_s,True,3000.0,3000.0,False,True,correct
3,RAG-OpenAI-Reranker,read_speed_mb_s,True,226.0,226,False,True,correct
4,RAG-OpenAI-Reranker,width_mm,True,433.0,433,False,True,correct
5,RAG-OpenAI-Reranker,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x16,False,True,correct
5,RAG-OpenAI-Reranker,model_number,False,90YV0CV2-M0NA00,90YV0CV2-M0NA00,False,True,correct
6,RAG-OpenAI-Reranker,bus_type,False,USB 3.0,USB 3.1,False,False,correct
8,RAG-OpenAI-Reranker,model_number,False,GV-N166SOC-6GD,GV-N166SOC-6GD,False,True,correct
9,RAG-OpenAI-Reranker,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x16,False,True,correct
9,RAG-OpenAI-Reranker,model_number,False,V375-040R,UNKNOWN,True,False,wrong
9,RAG-OpenAI-Reranker,height_mm,True,46.0,46,False,True,correct
9,RAG-OpenAI-Reranker,width_mm,True,127.0,127,False,True,correct
11,RAG-OpenAI-Reranker,bus_type,False,PCIe 3.0,PCIe 3.0,False,True,correct
12,RAG-OpenAI-Reranker,bus_type,False,PCIe 4.0,PCIe,False,True,acceptable
12,RAG-OpenAI-Reranker,model_number,False,90YV0DQ0-M0NA00,GV-N2060SOE-8GD,False,False,wrong
13,RAG-OpenAI-Reranker,model_number,False,AGAMMIXS11P-1TT-C,AGAMMIXS11P-1TT-C,False,True,correct
14,RAG-OpenAI-Reranker,model_number,False,GV-R56XTGAMING OC-6GD,GV-R56XTGAMING OC-6GD,False,True,correct
15,RAG-OpenAI-Reranker,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x8,False,False,correct
15,RAG-OpenAI-Reranker,model_number,False,100-506008,100-506008,False,True,correct
16,RAG-OpenAI-Reranker,model_number,False,NE6166SS18J9-161F,NE51660018J9-165F,False,False,correct
18,RAG-OpenAI-Reranker,read_speed_mb_s,True,550.0,550,False,True,correct
18,RAG-OpenAI-Reranker,write_speed_mb_s,True,520.0,520,False,True,correct
18,RAG-OpenAI-Reranker,height_mm,True,7.0,6.8,False,True,correct
19,RAG-OpenAI-Reranker,bus_type,False,PCIe 3.0 x16,PCIe 3.0,False,True,correct
19,RAG-OpenAI-Reranker,model_number,False,ROG-STRIX-RTX2080TI-O11G-GAMING,ROG Strix GeForce RTX™ 2080 Ti OC edition,False,False,correct
20,RAG-OpenAI-Reranker,model,False,220S,HIGH SSD,False,False,wrong
20,RAG-OpenAI-Reranker,read_speed_mb_s,True,550.0,520,False,True,correct
25,RAG-OpenAI-Reranker,bus_type,False,PCIe 3.0,PCIe,False,True,acceptable
26,RAG-OpenAI-Reranker,bus_type,False,SATA III,SATA III,False,True,correct
28,RAG-OpenAI-Reranker,height_mm,True,42.0,42,False,True,correct
28,RAG-OpenAI-Reranker,width_mm,True,130.9,130.9,False,True,correct
30,RAG-OpenAI-Reranker,bus_type,False,USB 3.0,USB 3.0,False,True,correct
30,RAG-OpenAI-Reranker,model_number,False,WDBMCG5000ABT-WESN,WDBMCG5000ABT-WESN,False,True,correct
33,RAG-OpenAI-Reranker,read_speed_mb_s,True,130.0,130,False,True,correct
33,RAG-OpenAI-Reranker,height_mm,True,20.8,20.8,False,True,correct
33,RAG-OpenAI-Reranker,width_mm,True,87.9,87.9,False,True,correct
41,RAG-OpenAI-Reranker,read_speed_mb_s,True,540.0,530,False,True,correct
41,RAG-OpenAI-Reranker,height_mm,True,10.5,10.5,False,True,correct
41,RAG-OpenAI-Reranker,width_mm,True,57.0,57,False,True,correct
43,RAG-OpenAI-Reranker,model_number,False,GP-ASM2NE6100TTTD,UNKNOWN,True,False,wrong
43,RAG-OpenAI-Reranker,height_mm,True,11.4,11.4,False,True,correct
43,RAG-OpenAI-Reranker,width_mm,True,80.5,23.5,False,False,wrong
52,RAG-OpenAI-Reranker,bus_type,False,SATA III,SATA III,False,True,correct
52,RAG-OpenAI-Reranker,model,False,SU800,Ultimate SU800,False,True,correct
52,RAG-OpenAI-Reranker,read_speed_mb_s,True,560.0,560,False,True,correct
52,RAG-OpenAI-Reranker,write_speed_mb_s,True,520.0,520.0,False,True,correct
52,RAG-OpenAI-Reranker,height_mm,True,3.5,3.5,False,True,correct
52,RAG-OpenAI-Reranker,width_mm,True,22.0,22,False,True,correct
54,RAG-OpenAI-Reranker,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x16,False,True,correct
54,RAG-OpenAI-Reranker,model_number,False,N20702-08D6-1710VA23,N20702-08D6-1710VA23,False,True,correct
54,RAG-OpenAI-Reranker,width_mm,True,113.0,113,False,True,correct
56,RAG-OpenAI-Reranker,read_speed_mb_s,True,560.0,560,False,True,correct
56,RAG-OpenAI-Reranker,write_speed_mb_s,True,510.0,510,False,True,correct
59,RAG-OpenAI-Reranker,width_mm,True,690.0,127,False,False,wrong
60,RAG-OpenAI-Reranker,model,False,Ironwolf 110,Nytro 1351,False,False,wrong
