df1_idx,config,attribute,is_numeric,ground_truth,predicted,unknown,fused_value,correct_standard,ce_judgment
0,PyDI-TE-Reranker,model_number,False,GV-N3080GAMING OC-10GD,NVIDIA GeForce RTX 3080 Eagle OC 10G,False,N/A,False,acceptable
2,PyDI-TE-Reranker,model_number,False,CSSD-F960GBMP510,CSSD-F960GBMP510,False,CSSD-F960GBMP510,True,correct
2,PyDI-TE-Reranker,read_speed_mb_s,True,3480.0,3000,False,3480.0,False,acceptable
2,PyDI-TE-Reranker,write_speed_mb_s,True,3000.0,3000,False,3000.0,True,correct
3,PyDI-TE-Reranker,read_speed_mb_s,True,226.0,226,False,226.0,True,correct
4,PyDI-TE-Reranker,width_mm,True,433.0,433,False,433.0,True,correct
5,PyDI-TE-Reranker,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x16,False,PCIe 3.0 x16,True,correct
5,PyDI-TE-Reranker,model_number,False,90YV0CV2-M0NA00,90YV0CV2-M0NA00,False,90YV0CV2-M0NA00,True,correct
6,PyDI-TE-Reranker,bus_type,False,USB 3.0,USB 3.1,False,USB 3.1,False,correct
8,PyDI-TE-Reranker,model_number,False,GV-N166SOC-6GD,GV-N166TWF2OC-6GD,False,GV-N166TWF2OC-6GD,False,correct
9,PyDI-TE-Reranker,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x16,False,PCIe 3.0 x16,True,correct
9,PyDI-TE-Reranker,model_number,False,V375-040R,ZT-T16610F-10L,False,ZT-T16610F-10L,False,wrong
9,PyDI-TE-Reranker,height_mm,True,46.0,46,False,46.0,True,correct
9,PyDI-TE-Reranker,width_mm,True,127.0,127,False,127.0,True,correct
11,PyDI-TE-Reranker,bus_type,False,PCIe 3.0,PCIe 3.0,False,PCIe 3.0,True,correct
12,PyDI-TE-Reranker,bus_type,False,PCIe 4.0,RTX 2060 Super,False,N/A,False,wrong
12,PyDI-TE-Reranker,model_number,False,90YV0DQ0-M0NA00,ROG Strix GeForce RTX 2060 Super EVO OC,False,N/A,False,wrong
13,PyDI-TE-Reranker,model_number,False,AGAMMIXS11P-1TT-C,AGAMMIXS11P-1TT-C,False,AGAMMIXS11P-1TT-C,True,correct
14,PyDI-TE-Reranker,model_number,False,GV-R56XTGAMING OC-6GD,GV-N166SOC-6GD,False,GV-R56XTGAMING OC-6GD,False,correct
15,PyDI-TE-Reranker,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x8,False,PCIe 3.0 x8,False,correct
15,PyDI-TE-Reranker,model_number,False,100-506008,100-505826,False,100-505826,False,acceptable
16,PyDI-TE-Reranker,model_number,False,NE6166SS18J9-161F,NE51660018J9-165F,False,NE51660018J9-165F,False,correct
18,PyDI-TE-Reranker,read_speed_mb_s,True,550.0,550,False,550.0,True,correct
18,PyDI-TE-Reranker,write_speed_mb_s,True,520.0,520,False,520.0,True,correct
18,PyDI-TE-Reranker,height_mm,True,7.0,6.8,False,6.8,True,correct
19,PyDI-TE-Reranker,bus_type,False,PCIe 3.0 x16,PCIe 3.0,False,PCIe 3.0,True,correct
19,PyDI-TE-Reranker,model_number,False,ROG-STRIX-RTX2080TI-O11G-GAMING,ROG-Strix-GeForce-RTX-2080-Ti-OC-edition,False,N/A,False,correct
20,PyDI-TE-Reranker,model,False,220S,HIGH SSD,False,HIGH SSD,False,wrong
20,PyDI-TE-Reranker,read_speed_mb_s,True,550.0,540,False,540.0,True,correct
25,PyDI-TE-Reranker,bus_type,False,PCIe 3.0,SATA III,False,N/A,False,wrong
26,PyDI-TE-Reranker,bus_type,False,SATA III,SATA III,False,SATA III,True,correct
28,PyDI-TE-Reranker,height_mm,True,42.0,42,False,42.0,True,correct
28,PyDI-TE-Reranker,width_mm,True,130.9,130.9,False,130.9,True,correct
30,PyDI-TE-Reranker,bus_type,False,USB 3.0,USB 3.0,False,USB 3.0,True,correct
30,PyDI-TE-Reranker,model_number,False,WDBMCG5000ABT-WESN,WDBMCG5000ABT-WESN,False,WDBMCG5000ABT-WESN,True,correct
33,PyDI-TE-Reranker,read_speed_mb_s,True,130.0,130,False,130.0,True,correct
33,PyDI-TE-Reranker,height_mm,True,20.8,20.8,False,20.8,True,correct
33,PyDI-TE-Reranker,width_mm,True,87.9,87.9,False,87.9,True,correct
41,PyDI-TE-Reranker,read_speed_mb_s,True,540.0,3480,False,N/A,False,wrong
41,PyDI-TE-Reranker,height_mm,True,10.5,10.5,False,10.5,True,correct
41,PyDI-TE-Reranker,width_mm,True,57.0,57,False,57.0,True,correct
43,PyDI-TE-Reranker,model_number,False,GP-ASM2NE6100TTTD,GP-ASM2NE6100TTTD,False,GP-ASM2NE6100TTTD,True,correct
43,PyDI-TE-Reranker,height_mm,True,11.4,11.4,False,11.4,True,correct
43,PyDI-TE-Reranker,width_mm,True,80.5,23.5,False,23.5,False,wrong
52,PyDI-TE-Reranker,bus_type,False,SATA III,SATA III,False,SATA III,True,correct
52,PyDI-TE-Reranker,model,False,SU800,SPECTRIX S40G,False,SPECTRIX S40G,False,wrong
52,PyDI-TE-Reranker,read_speed_mb_s,True,560.0,560,False,560.0,True,correct
52,PyDI-TE-Reranker,write_speed_mb_s,True,520.0,520,False,520.0,True,correct
