model,k,recall,precision,ndcg,f1
MiniLM,3,0.4791666666666667,0.2152777777777778,0.3951488628729813,0.28645833333333337
MiniLM,5,0.7083333333333334,0.19583333333333316,0.48042539314288774,0.2974950396825396
MiniLM,10,0.8645833333333334,0.1708333333333332,0.5233692780188565,0.2794531857031857
MiniLM,20,0.9375,0.1005208333333333,0.536998008708879,0.17951251646903807
BGE,3,0.7291666666666666,0.36458333333333326,0.5861231537526692,0.46770833333333317
BGE,5,0.8333333333333334,0.28749999999999976,0.632307632795594,0.4123263888888887
BGE,10,0.9375,0.2010416666666666,0.6375135784543264,0.32524766899766866
BGE,20,0.9895833333333334,0.11458333333333331,0.6456661065830709,0.20360828784741816
OpenAI,3,0.7708333333333334,0.4409722222222219,0.7005547157666481,0.5374999999999996
OpenAI,5,0.8333333333333334,0.327083333333333,0.7103695252734958,0.45572916666666646
OpenAI,10,0.9791666666666666,0.22916666666666666,0.7358847053864279,0.36596736596736545
OpenAI,20,1.0,0.1286458333333334,0.727780821890251,0.22671591693330814
