df1_idx,config,attribute,is_numeric,ground_truth,predicted,unknown,correct_standard,ce_judgment
0,RAG-BGE-RR-GPT54Mini-ohne,model_number,False,GV-N3080GAMING OC-10GD,N/A,False,False,wrong
2,RAG-BGE-RR-GPT54Mini-ohne,model_number,False,CSSD-F960GBMP510,CSSD-F960GBMP510,False,True,correct
2,RAG-BGE-RR-GPT54Mini-ohne,read_speed_mb_s,True,3480.0,3480,False,True,correct
2,RAG-BGE-RR-GPT54Mini-ohne,write_speed_mb_s,True,3000.0,3000,False,True,correct
3,RAG-BGE-RR-GPT54Mini-ohne,read_speed_mb_s,True,226.0,226,False,True,correct
4,RAG-BGE-RR-GPT54Mini-ohne,width_mm,True,433.0,433.0,False,True,correct
5,RAG-BGE-RR-GPT54Mini-ohne,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x16,False,True,correct
5,RAG-BGE-RR-GPT54Mini-ohne,model_number,False,90YV0CV2-M0NA00,90YV0CV2-M0NA00,False,True,correct
6,RAG-BGE-RR-GPT54Mini-ohne,bus_type,False,USB 3.0,USB 3.1,False,False,correct
8,RAG-BGE-RR-GPT54Mini-ohne,model_number,False,GV-N166SOC-6GD,GV-N166SOC-6GD,False,True,correct
9,RAG-BGE-RR-GPT54Mini-ohne,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x16,False,True,correct
9,RAG-BGE-RR-GPT54Mini-ohne,model_number,False,V375-040R,GV-N166TGAMING X-6GD,False,False,wrong
9,RAG-BGE-RR-GPT54Mini-ohne,height_mm,True,46.0,46,False,True,correct
9,RAG-BGE-RR-GPT54Mini-ohne,width_mm,True,127.0,127,False,True,correct
11,RAG-BGE-RR-GPT54Mini-ohne,bus_type,False,PCIe 3.0,PCIe 3.0,False,True,correct
12,RAG-BGE-RR-GPT54Mini-ohne,bus_type,False,PCIe 4.0,PCIe 3.0 x16,False,False,correct
12,RAG-BGE-RR-GPT54Mini-ohne,model_number,False,90YV0DQ0-M0NA00,Aorus GeForce RTX 2060 Super,False,False,wrong
13,RAG-BGE-RR-GPT54Mini-ohne,model_number,False,AGAMMIXS11P-1TT-C,AGAMMIXS11P-1TT-C,False,True,correct
14,RAG-BGE-RR-GPT54Mini-ohne,model_number,False,GV-R56XTGAMING OC-6GD,GV-R56XTGAMING OC-6GD,False,True,correct
15,RAG-BGE-RR-GPT54Mini-ohne,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x8,False,False,correct
15,RAG-BGE-RR-GPT54Mini-ohne,model_number,False,100-506008,100-506008,False,True,correct
16,RAG-BGE-RR-GPT54Mini-ohne,model_number,False,NE6166SS18J9-161F,NE51660018J9-165F,False,False,correct
18,RAG-BGE-RR-GPT54Mini-ohne,read_speed_mb_s,True,550.0,550,False,True,correct
18,RAG-BGE-RR-GPT54Mini-ohne,write_speed_mb_s,True,520.0,520,False,True,correct
18,RAG-BGE-RR-GPT54Mini-ohne,height_mm,True,7.0,6.8,False,False,acceptable
19,RAG-BGE-RR-GPT54Mini-ohne,bus_type,False,PCIe 3.0 x16,GDDR6,False,False,wrong
19,RAG-BGE-RR-GPT54Mini-ohne,model_number,False,ROG-STRIX-RTX2080TI-O11G-GAMING,ROG Strix GeForce RTX™ 2080 Ti OC edition,False,False,correct
20,RAG-BGE-RR-GPT54Mini-ohne,model,False,220S,220S,False,True,correct
20,RAG-BGE-RR-GPT54Mini-ohne,read_speed_mb_s,True,550.0,560,False,False,acceptable
25,RAG-BGE-RR-GPT54Mini-ohne,bus_type,False,PCIe 3.0,UNKNOWN,True,False,wrong
26,RAG-BGE-RR-GPT54Mini-ohne,bus_type,False,SATA III,SATA III,False,True,correct
28,RAG-BGE-RR-GPT54Mini-ohne,height_mm,True,42.0,42,False,True,correct
28,RAG-BGE-RR-GPT54Mini-ohne,width_mm,True,130.9,130.9,False,True,correct
30,RAG-BGE-RR-GPT54Mini-ohne,bus_type,False,USB 3.0,USB 3.0,False,True,correct
30,RAG-BGE-RR-GPT54Mini-ohne,model_number,False,WDBMCG5000ABT-WESN,WDBMCG5000ABT-WESN,False,True,correct
33,RAG-BGE-RR-GPT54Mini-ohne,read_speed_mb_s,True,130.0,130,False,True,correct
33,RAG-BGE-RR-GPT54Mini-ohne,height_mm,True,20.8,20.8,False,True,correct
33,RAG-BGE-RR-GPT54Mini-ohne,width_mm,True,87.9,87.9,False,True,correct
41,RAG-BGE-RR-GPT54Mini-ohne,read_speed_mb_s,True,540.0,540,False,True,correct
41,RAG-BGE-RR-GPT54Mini-ohne,height_mm,True,10.5,10,False,False,acceptable
41,RAG-BGE-RR-GPT54Mini-ohne,width_mm,True,57.0,57,False,True,correct
43,RAG-BGE-RR-GPT54Mini-ohne,model_number,False,GP-ASM2NE6100TTTD,GP-ASM2NE6100TTTD,False,True,correct
43,RAG-BGE-RR-GPT54Mini-ohne,height_mm,True,11.4,11.4,False,True,correct
43,RAG-BGE-RR-GPT54Mini-ohne,width_mm,True,80.5,23.5,False,False,wrong
52,RAG-BGE-RR-GPT54Mini-ohne,bus_type,False,SATA III,SATA III,False,True,correct
52,RAG-BGE-RR-GPT54Mini-ohne,model,False,SU800,Ultimate SU800,False,True,correct
52,RAG-BGE-RR-GPT54Mini-ohne,read_speed_mb_s,True,560.0,560,False,True,correct
52,RAG-BGE-RR-GPT54Mini-ohne,write_speed_mb_s,True,520.0,520,False,True,correct
52,RAG-BGE-RR-GPT54Mini-ohne,height_mm,True,3.5,3.5,False,True,correct
52,RAG-BGE-RR-GPT54Mini-ohne,width_mm,True,22.0,22,False,True,correct
54,RAG-BGE-RR-GPT54Mini-ohne,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x16,False,True,correct
54,RAG-BGE-RR-GPT54Mini-ohne,model_number,False,N20702-08D6-1710VA23,N20702-08D6-1710VA23,False,True,correct
54,RAG-BGE-RR-GPT54Mini-ohne,width_mm,True,113.0,113,False,True,correct
56,RAG-BGE-RR-GPT54Mini-ohne,read_speed_mb_s,True,560.0,560,False,True,correct
56,RAG-BGE-RR-GPT54Mini-ohne,write_speed_mb_s,True,510.0,510,False,True,correct
59,RAG-BGE-RR-GPT54Mini-ohne,width_mm,True,690.0,69,False,False,wrong
60,RAG-BGE-RR-GPT54Mini-ohne,model,False,Ironwolf 110,Ironwolf 110,False,True,correct
60,RAG-BGE-RR-GPT54Mini-ohne,read_speed_mb_s,True,560.0,560,False,True,correct
67,RAG-BGE-RR-GPT54Mini-ohne,read_speed_mb_s,True,550.0,550,False,True,correct
77,RAG-BGE-RR-GPT54Mini-ohne,read_speed_mb_s,True,555.0,550,False,False,acceptable
77,RAG-BGE-RR-GPT54Mini-ohne,write_speed_mb_s,True,520.0,520,False,True,correct
77,RAG-BGE-RR-GPT54Mini-ohne,height_mm,True,7.0,7,False,True,correct
82,RAG-BGE-RR-GPT54Mini-ohne,model_number,False,CT2000P1SSD8,P1 3D NAND NVMe,False,False,wrong
82,RAG-BGE-RR-GPT54Mini-ohne,read_speed_mb_s,True,2000.0,2000,False,True,correct
82,RAG-BGE-RR-GPT54Mini-ohne,write_speed_mb_s,True,1700.0,1700,False,True,correct
86,RAG-BGE-RR-GPT54Mini-ohne,height_mm,True,67.0,15,False,False,wrong
86,RAG-BGE-RR-GPT54Mini-ohne,width_mm,True,15.0,33,False,False,wrong
90,RAG-BGE-RR-GPT54Mini-ohne,bus_type,False,PCIe 3.0,PCIe 3.0,False,True,correct
90,RAG-BGE-RR-GPT54Mini-ohne,height_mm,True,41.0,41,False,True,correct
90,RAG-BGE-RR-GPT54Mini-ohne,width_mm,True,119.3,119.3,False,True,correct
95,RAG-BGE-RR-GPT54Mini-ohne,model_number,False,801882-B21,801882-B21,False,True,correct
95,RAG-BGE-RR-GPT54Mini-ohne,model,False,ISS,HPE 1TB 6G SATA 7.2K rpm LFF (3.5in) Non-hot Plug Standard 1yr Warranty Hard Drive,False,False,wrong
131,RAG-BGE-RR-GPT54Mini-ohne,model_number,False,WDS120G2G0A,WDS120G2G0A,False,True,correct
131,RAG-BGE-RR-GPT54Mini-ohne,write_speed_mb_s,True,430.0,430,False,True,correct
131,RAG-BGE-RR-GPT54Mini-ohne,height_mm,True,7.0,7,False,True,correct
135,RAG-BGE-RR-GPT54Mini-ohne,read_speed_mb_s,True,560.0,560,False,True,correct
135,RAG-BGE-RR-GPT54Mini-ohne,write_speed_mb_s,True,540.0,540,False,True,correct
137,RAG-BGE-RR-GPT54Mini-ohne,model,False,L200,L200,False,True,correct
145,RAG-BGE-RR-GPT54Mini-ohne,read_speed_mb_s,True,2400.0,2400,False,True,correct
145,RAG-BGE-RR-GPT54Mini-ohne,write_speed_mb_s,True,1950.0,1950,False,True,correct
145,RAG-BGE-RR-GPT54Mini-ohne,height_mm,True,2.4,2.4,False,True,correct
145,RAG-BGE-RR-GPT54Mini-ohne,width_mm,True,22.0,22.0,False,True,correct
152,RAG-BGE-RR-GPT54Mini-ohne,model_number,False,MZ-76P1T0B/EU,MZ-76P1T0B/EU,False,True,correct
152,RAG-BGE-RR-GPT54Mini-ohne,read_speed_mb_s,True,560.0,560,False,True,correct
152,RAG-BGE-RR-GPT54Mini-ohne,write_speed_mb_s,True,530.0,530,False,True,correct
158,RAG-BGE-RR-GPT54Mini-ohne,model,False,HDD SRV SAS 12G,HDD SRV SAS 12G,False,True,correct
178,RAG-BGE-RR-GPT54Mini-ohne,model,False,Ace - A80,Ace - A80,False,True,correct
188,RAG-BGE-RR-GPT54Mini-ohne,model,False,Barracuda 7200.12,"Seagate 500GB 7.2K 2.5"" SP 6G SATA ST9500620NS HDD Hard Drive",False,False,wrong
224,RAG-BGE-RR-GPT54Mini-ohne,model,False,Cheetah,Cheetah,False,True,correct
225,RAG-BGE-RR-GPT54Mini-ohne,model,False,GIGABYTE SSD 1TB,"Gigabyte 1TB 2.5"" SATA 3D SSD/Solid State Drive",False,False,correct
225,RAG-BGE-RR-GPT54Mini-ohne,height_mm,True,7.0,7,False,True,correct
