df1_idx,config,attribute,is_numeric,ground_truth,predicted,unknown,correct_standard,ce_judgment
0,RAG-TE-RR-GPT54Mini-ohne,model_number,False,GV-N3080GAMING OC-10GD,GV-N3080GAMING OC-10GD,False,True,correct
2,RAG-TE-RR-GPT54Mini-ohne,model_number,False,CSSD-F960GBMP510,CSSD-F960GBMP510,False,True,correct
2,RAG-TE-RR-GPT54Mini-ohne,read_speed_mb_s,True,3480.0,3480,False,True,correct
2,RAG-TE-RR-GPT54Mini-ohne,write_speed_mb_s,True,3000.0,3000,False,True,correct
3,RAG-TE-RR-GPT54Mini-ohne,read_speed_mb_s,True,226.0,226,False,True,correct
4,RAG-TE-RR-GPT54Mini-ohne,width_mm,True,433.0,43.3,False,False,wrong
5,RAG-TE-RR-GPT54Mini-ohne,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x16,False,True,correct
5,RAG-TE-RR-GPT54Mini-ohne,model_number,False,90YV0CV2-M0NA00,90YV0CV2-M0NA00,False,True,correct
6,RAG-TE-RR-GPT54Mini-ohne,bus_type,False,USB 3.0,USB 3.1,False,False,correct
8,RAG-TE-RR-GPT54Mini-ohne,model_number,False,GV-N166SOC-6GD,GV-N166SOC-6GD,False,True,correct
9,RAG-TE-RR-GPT54Mini-ohne,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x16,False,True,correct
9,RAG-TE-RR-GPT54Mini-ohne,model_number,False,V375-040R,GeForce GTX 1660 Ti GAMING X 6G,False,False,wrong
9,RAG-TE-RR-GPT54Mini-ohne,height_mm,True,46.0,46,False,True,correct
9,RAG-TE-RR-GPT54Mini-ohne,width_mm,True,127.0,127,False,True,correct
11,RAG-TE-RR-GPT54Mini-ohne,bus_type,False,PCIe 3.0,PCIe 3.0,False,True,correct
12,RAG-TE-RR-GPT54Mini-ohne,bus_type,False,PCIe 4.0,PCIe 3.0 x16,False,False,correct
12,RAG-TE-RR-GPT54Mini-ohne,model_number,False,90YV0DQ0-M0NA00,ROG Strix GeForce RTX 2080 Super OC Edition 8GB Gaming Graphics Card,False,False,wrong
13,RAG-TE-RR-GPT54Mini-ohne,model_number,False,AGAMMIXS11P-1TT-C,AGAMMIXS11P-1TT-C,False,True,correct
14,RAG-TE-RR-GPT54Mini-ohne,model_number,False,GV-R56XTGAMING OC-6GD,GV-R56XTGAMING OC-6GD,False,True,correct
15,RAG-TE-RR-GPT54Mini-ohne,bus_type,False,PCIe 3.0 x16,PCIe 3.0 x8,False,False,correct
15,RAG-TE-RR-GPT54Mini-ohne,model_number,False,100-506008,100-506008,False,True,correct
16,RAG-TE-RR-GPT54Mini-ohne,model_number,False,NE6166SS18J9-161F,NE51660018J9-165F,False,False,correct
18,RAG-TE-RR-GPT54Mini-ohne,read_speed_mb_s,True,550.0,550,False,True,correct
18,RAG-TE-RR-GPT54Mini-ohne,write_speed_mb_s,True,520.0,520,False,True,correct
18,RAG-TE-RR-GPT54Mini-ohne,height_mm,True,7.0,6.8,False,False,acceptable
19,RAG-TE-RR-GPT54Mini-ohne,bus_type,False,PCIe 3.0 x16,PCIe 3.0,False,True,correct
19,RAG-TE-RR-GPT54Mini-ohne,model_number,False,ROG-STRIX-RTX2080TI-O11G-GAMING,ROG Strix GeForce RTX™ 2080 Ti OC edition,False,False,correct
20,RAG-TE-RR-GPT54Mini-ohne,model,False,220S,HIGH SSD,False,False,wrong
20,RAG-TE-RR-GPT54Mini-ohne,read_speed_mb_s,True,550.0,520,False,False,acceptable
25,RAG-TE-RR-GPT54Mini-ohne,bus_type,False,PCIe 3.0,UNKNOWN,True,False,wrong
26,RAG-TE-RR-GPT54Mini-ohne,bus_type,False,SATA III,SATA III,False,True,correct
